"UACE10","GEOID10","NAME10","state","ALAND10","report_year.x","report_year.y","agency_voms","mode_voms","service_area_sq_miles","service_area_population","report_year","total_facilities","per_facilities_prior1980","per_facilities_prior2000","bin_bus","bin_demandresponse","bin_light_commuterail","bin_ferry","bin_directly_operated","bin_purchased_transportation","fare_revenues_earned","total_operating_expenses","cost_per_hour","train_miles","train_hours","passengers_per_hour","passenger_miles"
"19126","19126","Columbus, IN","IN",70790972,2023,2023,10,5,28,50474,2023,2,50,50,2,2,0,0,2,0,0,2302274,141.7822,0,0,11.4301,0
"19153","19153","Columbus, KS","KS",5218667,2023,2023,22,22,0,0,2023,0,0,0,0,1,0,0,1,0,46205,246188,71.4002,0,0,6.2636,0
"19207","19207","Columbus, NE","NE",20786007,2023,2023,5,5,0,0,2023,1,0,0,0,1,0,0,1,0,13332,249091,100.6428,0,0,2.8069,0
"19234","19234","Columbus, OH","OH",1322426433,2023,2023,273,189,7945,1531127,2023,49,100,100,3,6,0,0,5,2,14288599,193719010,659.7699,0,0,35.4246,53726549
"19342","19342","Colusa, CA","CA",5884523,2023,2023,7,7,0,0,2023,1,0,100,0,1,0,0,1,0,73245,1130774,146.2082,0,0,4.1716,0
"19369","19369","Colville, WA","WA",11916331,2023,2023,8,5,0,0,2023,0,0,0,1,1,0,0,2,0,5199,1022964,207.2727,0,0,3.7942,0
"19504","19504","Concord, CA","CA",525078873,2023,2023,129,77,274,627597,2023,13,0,100,3,2,0,0,1,2,3300705,41006523,413.2225,0,0,15.4797,9835548
"19531","19531","Concord, NH","NH",88333045,2023,2023,12,9,0,0,2023,8,0,12.5,2,1,0,0,2,0,0,1440893,164.7658,0,0,14.5185,0
"19558","19558","Concord, NC","NC",466782955,2023,2023,22,22,524,181468,2023,3,100,100,2,4,0,0,4,2,275812,11222476,532.2139,0,0,25.9308,0
"19693","19693","Connersville, IN","IN",22710412,2023,2023,9,9,0,0,2023,1,0,0,0,1,0,0,1,0,41964,514035,33.9701,0,0,2.1904,0
"19755","19755","Conroe--The Woodlands, TX","TX",345013129,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19828","19828","Cookeville, TN","TN",115274265,2023,2023,102,85,0,0,2023,1,0,0,2,2,0,0,2,0,330717,9464661,97.2283,0,0,4.5697,0
"19882","19882","Coolidge, AZ","AZ",10906528,2023,2023,8,6,0,0,2023,2,0,0,2,2,0,0,2,0,26291,1041285,142.3175,0,0,5.162,0
"19936","19936","Coos Bay, OR","OR",42686508,2023,2023,14,5,0,0,2023,1,0,0,3,3,0,0,3,0,99571,1927452,350.0982,0,0,9.4416,0
"20044","20044","Corcoran, CA","CA",16956710,2023,2023,4,4,0,0,2023,3,0,33.3333333333333,0,1,0,0,1,0,45715,881668,238.8697,0,0,6.8271,0
"20071","20071","Cordele, GA","GA",19478696,2023,2023,5,5,0,0,2023,0,0,0,0,1,0,0,0,1,5580,389249,69.0035,0,0,2.2074,0
"20233","20233","Corning, NY","NY",26175021,2023,2023,5,5,0,0,2023,1,0,0,1,0,0,0,0,1,32533,693601,56.7734,0,0,6.9208,0
"20287","20287","Corpus Christi, TX","TX",311317188,2023,2023,117,42,846,337974,2023,44,0,18.1818181818182,2,2,0,0,1,3,1524971,42387092,412.1822,0,0,31.1334,17504399
"20341","20341","Corsicana, TX","TX",32707922,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20368","20368","Cortez, CO","CO",9451925,2023,2023,6,6,0,0,2023,0,0,0,0,1,0,0,1,0,44236,472218,73.5199,0,0,1.3419,0
"20395","20395","Cortland, NY","NY",27627631,2023,2023,15,13,114,14827,2023,0,0,0,1,1,0,0,0,2,90946,2157653,315.7131,0,0,7.9368,0
"20422","20422","Corvallis, OR","OR",55127909,2023,2023,13,11,679,96017,2023,2,0,0,2,1,0,0,0,3,33294,5302193,240.776,0,0,27.7382,0
"20476","20476","Coshocton, OH","OH",13446090,2023,2023,10,10,0,0,2023,0,0,0,0,1,0,0,1,0,3286,993842,52.4732,0,0,1.3289,0
"20503","20503","Cottage Grove, OR","OR",13606209,2023,2023,7,6,0,0,2023,0,0,0,1,1,0,0,1,1,52372,849033,197.56,0,0,2.5835,0
"20595","20595","Cottonwood--Verde Village, AZ","AZ",37505226,2023,2023,9,6,0,0,2023,1,0,0,2,2,0,0,2,0,156101,2294810,140.4054,0,0,9.6132,0
"20719","20719","Covington, TN","TN",17355179,2023,2023,34,34,0,0,2023,0,0,0,0,1,0,0,1,0,56093,2382692,86.1328,0,0,0.8823,0
"20890","20890","Crawfordville, FL","FL",24765279,2023,2023,10,10,55,64655,2023,0,0,0,0,1,0,0,1,0,58944,526071,73.2894,0,0,2.0347,0
"20908","20908","Crescent City, CA","CA",30718476,2023,2023,7,6,0,0,2023,1,0,0,2,2,0,0,0,2,89638,1968987,244.0529,0,0,7.2161,0
"21016","21016","Creston, IA","IA",10213334,2023,2023,24,24,0,0,2023,0,0,0,0,1,0,0,1,0,252772,1558883,42.8842,0,0,2.3942,0
"21043","21043","Crestview, FL","FL",61102504,0,0,0,0,0,0,2023,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"21232","21232","Crookston, MN","MN",10534888,2023,2023,22,15,0,0,2023,3,0,0,2,2,0,0,2,0,275927,3180495,278.2023,0,0,8.7397,0
"21637","21637","Cullman, AL","AL",57522567,2023,2023,30,30,0,0,2023,0,0,0,0,1,0,0,1,0,39600,1419927,62.3267,0,0,1.3149,0
"21745","21745","Cumberland, MD--WV--PA","MD",84481876,2023,2023,17,9,0,0,2023,2,50,50,2,2,0,0,2,0,264920,2771606,233.3469,0,0,9.3537,0
"21772","21772","Cushing, OK","OK",11431984,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22042","22042","Dallas--Fort Worth--Arlington, TX","TX",4612319701,2023,2023,783,465,1945,2530800,2023,120,10,100,7,17,6,0,14,9,49929832,820940940,3683.1965,7002854,357669,169.1694,330496536
"22069","22069","Dalton, GA","GA",209237747,2023,2023,10,10,285,137133,2023,0,0,0,0,1,0,0,1,0,56414,917208,146.3085,0,0,4.3407,0
"22096","22096","Danbury, CT--NY","CT",341046919,2023,2023,43,29,124,154855,2023,2,0,100,2,2,0,0,2,0,492376,8463311,176.6658,0,0,11.0494,3824120
"22204","22204","Danville, IL","IL",77199252,2023,2023,19,19,0,0,2023,2,0,50,1,2,0,0,1,0,45973,1581342,101.5699,0,0,3.7541,0
"22253","22253","Danville, VA--NC","VA",107858331,2023,2023,18,12,0,0,2023,5,0,20,2,2,0,0,2,0,334632,3314012,192.8325,0,0,15.1068,0
"22312","22312","Darien, GA","GA",8126145,2023,2023,59,59,0,0,2023,0,0,0,0,1,0,0,1,0,82651,4458614,70.8144,0,0,1.4978,0
"22366","22366","Davenport, IA--IL","IA",357696091,2023,2023,39,36,2791,555862,2023,4,0,100,5,4,0,1,6,2,2120883,32725374,1003.027,0,0,55.1392,10814448
"22366","22366","Davenport, IA--IL","IL",357696091,2023,2023,63,47,46,120378,2023,14,28.5714285714286,57.1428571428571,5,4,0,1,6,2,2120883,32725374,1003.027,0,0,55.1392,10814448
"22420","22420","Davis, CA","CA",36571036,2023,2023,30,30,21,70827,2023,4,0,25,1,1,0,0,2,0,5705335,9321617,325.3707,0,0,48.0852,6444501
"22528","22528","Dayton, OH","OH",909334087,2023,2023,134,76,425,559062,2023,11,45.4545454545455,81.8181818181818,3,4,0,0,3,2,7744600,77012517,770.0612,0,0,48.6936,43105033
"22690","22690","Decatur, AL","AL",151169361,2023,2023,12,12,43,70436,2023,0,0,0,0,1,0,0,1,0,46358,769383,53.4962,0,0,2.6639,206786
"22717","22717","Decatur, IL","IL",153201774,2023,2023,24,19,53,74746,2023,2,0,50,2,2,0,0,0,2,335026,9091776,280.6315,0,0,14.8674,2611423
"22798","22798","Decorah, IA","IA",13379356,2023,2023,26,26,0,0,2023,1,100,100,0,1,0,0,1,0,455120,2565997,56.8743,0,0,2.2766,0
"22811","22811","Dededo--Machanao--Apotgan, GU","GU",156629116,2023,2023,14,7,30,42660,0,0,0,0,1,1,0,0,2,0,103752,3294991,122.6614,0,0,3.9269,0
"22960","22960","DeKalb, IL","IL",66762206,2023,2023,33,20,631,100420,0,0,0,0,1,2,0,0,1,2,2061414,10436777,284.73,0,0,15.4475,1515046
"22987","22987","Delano, CA","CA",25683187,0,0,0,0,0,0,2023,2,50,50,1,1,0,0,0,0,0,0,0,0,0,0,0
"23203","23203","Del Rio, TX","TX",50259722,2023,2023,16,14,0,0,2023,2,0,50,2,2,0,0,2,0,267941,1427693,124.5035,0,0,4.3989,0
"23365","23365","Demopolis, AL","AL",13136067,2023,2023,32,32,0,0,2023,0,0,0,0,1,0,0,1,0,63795,1883439,24.2243,0,0,3.3363,0
"23473","23473","Denton, MD","MD",11791876,2023,2023,19,11,0,0,2023,1,0,0,2,2,0,0,2,0,93924,1499071,92.2643,0,0,3.4377,0
"23500","23500","Denton--Lewisville, TX","TX",376268169,2023,2023,194,89,878,859064,2023,15,6.66666666666667,100,3,6,2,0,3,3,6308836,41434160,1022.4068,392808,18847,51.1316,21084114
"23527","23527","Denver--Aurora, CO","CO",1726575448,2023,2023,968,310,2342,3098079,2023,386,4.92227979274611,34.1968911917098,5,5,8,0,4,5,80753900,872614380,3278.3248,7348256,424662,196.4829,493108741
"23743","23743","Des Moines, IA","IA",517188950,2023,2023,150,86,616,527716,2023,10,30,40,2,4,0,0,3,0,5085952,35498124,421.17,0,0,25.1553,16681076
"23824","23824","Detroit, MI","MI",3460552155,2023,2023,257,172,2562,10041771,2023,21,50,85.7142857142857,3,5,2,0,5,3,16257979,243002539,2047.6847,226022,35400,124.5524,113222566
"23851","23851","Detroit Lakes, MN","MN",14942428,2023,2023,6,6,0,0,2023,1,0,0,0,1,0,0,1,0,79162,581044,63.6412,0,0,4.9308,0
"23878","23878","Devils Lake, ND","ND",8345818,2023,2023,6,6,0,0,2023,0,0,0,0,1,0,0,1,0,42117,331699,52.4757,0,0,3.831,0
"24094","24094","Dickinson, ND","ND",19586299,2023,2023,12,12,0,0,2023,0,0,0,0,1,0,0,1,0,191573,1194095,62.5934,0,0,2.2721,0
"24283","24283","Dixon, CA","CA",16068747,2023,2023,10,10,0,0,2023,1,0,0,0,1,0,0,1,0,87736,1080443,122.0426,0,0,3.996,0
"24310","24310","Dixon, IL","IL",25513555,2023,2023,26,26,0,0,2023,1,0,0,2,2,0,0,2,0,65850,2655597,109.4595,0,0,3.4472,0
"24337","24337","Dodge City, KS","KS",27885255,2023,2023,8,5,0,0,2023,0,0,0,1,1,0,0,2,0,22355,697655,102.1754,0,0,4.5255,0
"24472","24472","Dothan, AL","AL",143862510,2023,2023,29,11,2972,253798,2023,0,0,0,0,3,0,0,1,1,69048,2592863,139.6571,0,0,4.4996,0
"24499","24499","Douglas, AZ","AZ",14681439,2023,2023,8,6,0,0,2023,0,0,0,1,1,0,0,2,0,27963,440599,52.2108,0,0,6.7224,0
"24580","24580","Dover, DE","DE",191557569,0,0,0,0,0,0,2023,37,5.40540540540541,32.4324324324324,1,1,0,0,0,0,0,0,0,0,0,0,0
"24607","24607","Dover--Rochester, NH--ME","NH",172170546,2023,2023,23,16,368,166975,2023,12,50,100,3,2,0,0,3,0,383040,8827048,416.2417,0,0,36.3613,1961994
"24634","24634","Dowagiac, MI","MI",8985213,2023,2023,2,2,0,0,2023,0,0,0,0,1,0,0,0,1,23017,316877,67.6509,0,0,4.0826,0
"24823","24823","Dubuque, IA--IL","IA",87456010,2023,2023,19,15,26,60140,2023,6,0,0,2,3,0,0,3,0,514296,5718927,251.8802,0,0,16.2066,0
"24850","24850","Duluth, MN--WI","MN",182200139,2023,2023,61,52,91,119100,2023,2,0,50,2,2,0,0,2,0,1998869,21443359,202.4419,0,0,15.713,9955251
"25147","25147","Durango, CO","CO",24182921,2023,2023,12,10,0,0,2023,2,50,50,2,2,0,0,2,0,172277,3088379,202.2515,0,0,16.7077,0
"25201","25201","Durant, OK","OK",26219068,2023,2023,26,26,0,0,2023,0,0,0,0,1,0,0,1,0,36431,1287475,43.0004,0,0,1.7041,0
"25228","25228","Durham, NC","NC",470815650,2023,2023,101,74,1665,1924805,2023,19,0,21.0526315789474,7,8,0,0,6,4,238726,93827528,1754.0206,0,0,101.1619,40281441
"25498","25498","Eagle Pass, TX","TX",51834874,2023,2023,29,26,26,53680,0,0,0,0,1,1,0,0,2,0,829727,3047990,111.0721,0,0,9.2582,0
"25714","25714","Eastman, GA","GA",14614942,2023,2023,4,4,0,0,2023,0,0,0,0,1,0,0,1,0,6569,229288,50.4373,0,0,1.4705,0
"25876","25876","East Tawas, MI","MI",8124926,2023,2023,6,6,0,0,2023,1,0,100,0,1,0,0,1,0,72609,591626,84.6631,0,0,3.6037,0
"26011","26011","Eatonton, GA","GA",8572623,2023,2023,3,3,0,0,2023,0,0,0,0,1,0,0,1,0,22935,268222,48.433,0,0,2.6594,0
"26038","26038","Eau Claire, WI","WI",178645406,2023,2023,42,26,28,78545,2023,1,0,100,1,2,0,0,1,2,1064921,6073310,165.5694,0,0,17.9564,1868624
"26173","26173","Edgerton, WI","WI",13356065,2023,2023,1,1,0,0,2023,0,0,0,0,1,0,0,0,1,9134,70363,33.7149,0,0,1.3589,0
"26308","26308","Effingham, IL","IL",22175729,2023,2023,10,10,0,0,2023,0,0,0,0,1,0,0,1,0,18390,783491,52.9457,0,0,2.0633,0
"26362","26362","Elberton, GA","GA",13657080,2023,2023,5,5,0,0,2023,0,0,0,0,1,0,0,1,0,18285,290643,56.7662,0,0,2.2723,0
"26416","26416","El Centro--Calexico, CA","CA",77843508,0,0,0,0,0,0,2023,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"26524","26524","El Dorado, KS","KS",23318815,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26686","26686","Elizabeth City, NC","NC",43973963,2023,2023,14,14,0,0,2023,2,0,0,0,1,0,0,1,0,0,1992992,62.8407,0,0,2.2601,0
"26750","26750","Elizabethtown--Radcliff, KY","KY",147432834,2023,2023,44,34,955,141738,2023,1,100,100,1,3,0,0,2,0,2598285,3754301,66.4659,0,0,4.2549,1683699
"26794","26794","Elkhart, IN--MI","IN",237913830,2023,2023,19,10,90,176300,0,0,0,0,1,1,0,0,0,2,219139,4375542,163.0464,0,0,11.921,2136283
"26821","26821","Elkhorn, WI","WI",26635335,2023,2023,17,17,0,0,2023,0,0,0,0,1,0,0,0,1,95721,1114028,38.9017,0,0,1.1707,0
"26875","26875","Elkins, WV","WV",15843803,2023,2023,12,7,0,0,2023,0,0,0,1,1,0,0,2,0,46814,711169,90.1184,0,0,2.8473,0
"26902","26902","Elko, NV","NV",26635223,2023,2023,10,10,20,5843,2023,0,0,0,0,1,0,0,1,0,17768,968037,96.3604,0,0,2.6822,0
"26983","26983","Ellensburg, WA","WA",22914582,2023,2023,14,7,0,0,2023,0,0,0,1,1,0,0,2,0,0,2955953,217.027,0,0,6.5444,0
"27118","27118","Elmira, NY","NY",97905461,2023,2023,24,19,411,84148,2023,2,0,100,2,2,0,0,0,2,496988,6118612,308.9677,0,0,13.8923,0
"27253","27253","El Paso, TX--NM","TX",649168060,2023,2023,156,130,1013,865657,2023,54,0,7.40740740740741,3,2,2,0,2,3,6866736,69759949,688.6576,44532,6581,39.6224,39053775
"27261","27261","El Paso de Robles (Paso Robles)--Atascadero, CA","CA",82069173,2023,2023,2,2,25,30418,2023,0,0,0,0,1,0,0,0,1,21588,471845,160.6554,0,0,2.5206,0
"27361","27361","Ely, NV","NV",6597485,2023,2023,4,4,0,0,2023,0,0,0,0,1,0,0,1,0,5718,175751,63.7935,0,0,1.4178,0
"27469","27469","Emmett, ID","ID",14558902,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27523","27523","Emporia, KS","KS",28731981,2023,2023,10,8,0,0,2023,0,0,0,1,1,0,0,2,0,45691,1013576,136.2675,0,0,4.6351,0
"27550","27550","Emporia, VA","VA",14984906,2023,2023,2,2,0,0,2023,0,0,0,1,0,0,0,1,0,6474,195237,62.8176,0,0,3.5125,0
"27631","27631","Enid, OK","OK",62160120,2023,2023,42,42,74,51308,2023,1,0,100,0,2,0,0,2,0,171301,2469670,80.779,0,0,3.343,0
"27766","27766","Erie, PA","PA",212590702,2023,2023,80,48,77,189872,2023,5,0,0,2,2,0,0,2,0,4606141,22331761,225.6688,0,0,12.456,3300207
"27847","27847","Escanaba, MI","MI",46637896,2023,2023,18,18,0,0,2023,1,0,100,0,1,0,0,1,0,93373,1964208,94.9627,0,0,3.4466,0
"27874","27874","Espanola, NM","NM",74148597,0,0,0,0,0,0,2023,8,0,25,1,1,0,0,0,0,0,0,0,0,0,0,0
"27928","27928","Estes Park, CO","CO",19397277,2023,2023,6,6,0,0,2023,0,0,0,1,0,0,0,0,1,0,548532,97.051,0,0,17.5994,0
"28090","28090","Eufaula, AL--GA","AL",19508583,2023,2023,4,4,0,0,2023,0,0,0,0,1,0,0,1,0,10986,232518,229.0818,0,0,5.7399,0
"28117","28117","Eugene, OR","OR",223998673,2023,2023,132,57,482,317600,2023,36,0,47.2222222222222,5,3,0,0,2,4,16552658,66135313,936.7724,0,0,76.1521,22779952
"28198","28198","Eureka, CA","CA",47950135,2023,2023,14,9,0,0,2023,2,0,100,4,1,0,0,2,2,1099863,7402092,531.8364,0,0,26.3132,0
"28225","28225","Eureka, IL","IL",6757177,2023,2023,8,8,0,0,2023,0,0,0,0,1,0,0,1,0,73674,509360,58.5202,0,0,1.1019,0
"28306","28306","Evanston, WY","WY",18201295,0,0,0,0,0,0,2023,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"28333","28333","Evansville, IN--KY","IN",307812462,2023,2023,29,17,45,118930,2023,3,0,100,2,2,0,0,2,0,1279875,7786856,197.7162,0,0,13.9359,3415960
"28495","28495","Excelsior Springs, MO","MO",18055151,2023,2023,4,4,0,0,2023,3,0,33.3333333333333,1,0,0,0,1,0,73625,283099,56.7219,0,0,2.3188,0
"28549","28549","Fairbanks, AK","AK",142472507,2023,2023,18,12,7338,95356,2023,2,50,50,2,2,0,0,2,0,253879,7788165,392.2704,0,0,11.2813,0
"28657","28657","Fairfield, CA","CA",102399929,2023,2023,26,13,129,505849,2023,5,0,20,3,2,0,0,0,3,481967,10189041,757.3914,0,0,12.6486,1116832
"28846","28846","Fairmont, MN","MN",16701443,2023,2023,9,6,0,0,2023,1,0,0,2,2,0,0,2,0,91783,1248352,105.6058,0,0,4.0795,0
"28873","28873","Fairmont, WV","WV",67658595,2023,2023,28,14,0,0,2023,1,0,0,2,2,0,0,2,0,476323,2790971,163.4787,0,0,7.2602,0
"28981","28981","Fajardo, PR","PR",131596513,2023,2023,3,2,7,36993,0,0,0,0,1,1,0,0,2,0,0,311027,359.1434,0,0,11.5325,0
"29035","29035","Fallon, NV","NV",36643031,2023,2023,4,4,0,0,2023,0,0,0,0,1,0,0,1,0,12665,360692,95.497,0,0,3.1676,0
"29089","29089","Fargo, ND--MN","MN",181819209,2023,2023,11,8,26,51118,2023,2,0,50,3,4,0,0,1,4,1032564,16038154,430.2733,0,0,29.6019,4542456
"29089","29089","Fargo, ND--MN","ND",181819209,2023,2023,37,24,7243,220414,2023,2,0,0,3,4,0,0,1,4,1032564,16038154,430.2733,0,0,29.6019,4542456
"29278","29278","Farmington, NM","NM",91478202,2023,2023,13,9,306,97332,2023,0,0,0,1,1,0,0,0,2,42361,1414389,106.8308,0,0,4.9642,0
"29332","29332","Farmville, VA","VA",17850998,2023,2023,7,4,0,0,2023,1,0,0,2,2,0,0,2,0,152704,826232,142.9689,0,0,12.462,0
"29440","29440","Fayetteville, NC","NC",513119440,2023,2023,36,18,658,329403,2023,2,0,50,2,5,0,0,3,2,437239,14174810,412.0923,0,0,38.2117,9099174
"29494","29494","Fayetteville--Springdale--Rogers, AR--MO","AR",486551383,2023,2023,25,19,3253,467570,2023,4,0,100,4,4,0,0,4,0,1909190,8980680,402.9279,0,0,46.8628,0
"29575","29575","Fergus Falls, MN","MN",15733279,2023,2023,18,18,0,0,2023,0,0,0,0,1,0,0,1,0,78528,2394481,77.4286,0,0,2.8489,0
"29602","29602","Fernandina Beach, FL","FL",62388480,0,0,0,0,0,0,2023,1,0,100,1,1,0,0,0,0,0,0,0,0,0,0,0
"29737","29737","Findlay, OH","OH",61726352,2023,2023,33,33,0,0,2023,0,0,0,0,1,0,0,1,0,65871,1767860,44.2928,0,0,1.7038,0
"29818","29818","Flagstaff, AZ","AZ",89950706,2023,2023,34,20,29,79802,2023,2,0,0,2,3,0,0,2,1,1455727,10894581,296.3985,0,0,29.9093,5134430
"29872","29872","Flint, MI","MI",611006681,2023,2023,242,148,640,405813,2023,50,0,40,2,3,0,0,2,1,4763406,49624815,341.832,0,0,17.1526,43975174
"29953","29953","Florence, AL","AL",161235248,2023,2023,16,14,3365,235785,0,0,0,0,0,2,0,0,1,0,82610,1215160,89.8885,0,0,7.8435,0
"30061","30061","Florence, SC","SC",183859253,2023,2023,29,21,3563,335620,0,0,0,0,1,1,0,0,2,0,254463,4316866,147.3177,0,0,8.2631,0
"30223","30223","Fond du Lac, WI","WI",74813844,2023,2023,21,9,19,49167,0,0,0,0,2,2,0,0,1,2,187014,1483423,301.6839,0,0,30.6696,0
"30547","30547","Fort Atkinson, WI","WI",28971443,2023,2023,7,7,0,0,2023,0,0,0,0,1,0,0,0,1,119639,293701,34.8276,0,0,3.1826,0
"30628","30628","Fort Collins, CO","CO",282359616,2023,2023,46,26,56,169810,2023,13,0,23.0769230769231,5,4,0,0,4,2,144392,19032752,917.4637,0,0,74.8063,8481402
"30682","30682","Fort Dodge, IA","IA",33057793,2023,2023,19,15,0,0,2023,4,0,100,2,3,0,0,1,2,156524,2321217,188.7495,0,0,14.3521,0
"30817","30817","Fort Morgan, CO","CO",12626373,2023,2023,51,46,0,0,2023,0,0,0,1,1,0,0,2,0,1030798,1703628,100.9044,0,0,6.995,0
"30925","30925","Fort Smith, AR--OK","AR",183297944,2023,2023,10,7,65,86209,2023,4,0,50,2,2,0,0,2,0,172258,2799840,179.6081,0,0,12.3804,0
"31033","31033","Fort Valley, GA","GA",12541933,2023,2023,3,3,0,0,2023,0,0,0,0,1,0,0,0,1,4685,130372,51.0462,0,0,2.2263,0
"31087","31087","Fort Wayne, IN","IN",445521571,2023,2023,40,25,123,279469,2023,4,75,75,2,2,0,0,2,0,1390091,17721032,288.1493,0,0,18.5909,6664742
"31195","31195","Frankenmuth, MI","MI",7116006,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31222","31222","Frankfort, IN","IN",20067751,2023,2023,8,8,0,0,2023,0,0,0,0,1,0,0,1,0,24000,653320,49.1144,0,0,2.5064,0
"31249","31249","Frankfort, KY","KY",55897718,2023,2023,119,109,0,0,2023,2,0,50,4,4,0,0,4,0,188485,11651159,219.8281,0,0,11.4473,0
"31303","31303","Franklin, LA","LA",27198814,2023,2023,6,6,0,0,2023,1,0,0,0,1,0,0,1,0,2956,262940,121.0032,0,0,1.8371,0
"31384","31384","Franklin, NC","NC",23676011,2023,2023,12,9,0,0,2023,1,0,0,2,2,0,0,2,0,80818,1056414,70.7682,0,0,4.286,0
"31519","31519","Frederick, MD","MD",190026642,2023,2023,36,20,452,172891,2023,4,0,50,3,3,0,0,2,2,376937,10954361,293.8578,0,0,16.6713,3659312
"31546","31546","Frederick, OK","OK",5793325,2023,2023,101,101,0,0,2023,1,100,100,0,1,0,0,1,0,90810,3957015,40.2832,0,0,1.6792,0
"31600","31600","Fredericksburg, VA","VA",201957320,2023,2023,20,20,242,113716,2023,3,0,0,1,0,0,0,1,0,72206,5106115,135.0431,0,0,7.6261,0
"31681","31681","Freeport, IL","IL",35949261,2023,2023,14,14,0,0,2023,1,100,100,0,1,0,0,1,0,73303,1118567,71.8735,0,0,3.1849,0
"31789","31789","Fremont, OH","OH",31870881,2023,2023,13,10,0,0,2023,1,0,0,2,2,0,0,2,0,53133,1582940,153.3275,0,0,4.4757,0
"31843","31843","Fresno, CA","CA",441050251,2023,2023,144,106,154,591531,2023,5,0,60,2,2,0,0,1,3,3970688,78357599,508.1859,0,0,26.6447,24008883
"32032","32032","Fulton, KY--TN","KY",7335693,2023,2023,45,45,0,0,2023,2,0,0,0,1,0,0,1,0,234236,3106904,35.3837,0,0,0.4508,0
"32086","32086","Fulton, MO","MO",17025785,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32113","32113","Gadsden, AL","AL",186532937,2023,2023,12,8,37,61709,2023,1,0,0,1,2,0,0,3,0,45236,1264378,186.843,0,0,11.8955,0
"32167","32167","Gainesville, FL","FL",225573985,2023,2023,134,90,106,199300,2023,8,0,0,1,2,0,0,1,2,15444010,28783113,236.8126,0,0,27.3342,17908961
"32194","32194","Gainesville, GA","GA",327020565,2023,2023,13,11,425,203136,2023,2,0,0,2,2,0,0,2,0,217264,1818625,113.0234,0,0,13.9516,0
"32329","32329","Galesburg, IL","IL",55982174,2023,2023,10,6,0,0,2023,1,0,0,2,2,0,0,2,0,53387,2527311,237.9292,0,0,8.1191,0
"32437","32437","Gallup, NM","NM",31442480,2023,2023,7,7,0,0,2023,0,0,0,1,0,0,0,1,0,30721,474572,43.2648,0,0,4.4656,0
"32491","32491","Galveston, TX","TX",30382333,2023,2023,27,12,2483,716403,2023,4,0,75,4,2,2,0,5,0,280569,13338759,1146.5823,5964,1485,45.4959,694421
"32518","32518","Garden City, KS","KS",33408931,2023,2023,13,8,0,0,2023,1,0,0,2,2,0,0,2,0,23220,1207425,120.1425,0,0,5.8597,0
"32653","32653","Gastonia, NC--SC","NC",359105089,2023,2023,10,8,364,224529,2023,2,100,100,4,4,0,0,4,0,312551,3986209,636.3997,0,0,13.1347,0
"32734","32734","Gaylord, MI","MI",26505919,2023,2023,14,14,0,0,2023,1,0,0,0,1,0,0,1,0,78051,1328962,68.6022,0,0,2.1037,0
"33247","33247","Gillette, WY","WY",64299086,2023,2023,9,9,0,0,2023,1,0,0,0,1,0,0,1,0,25716,369408,179.8481,0,0,5.9464,0
"33355","33355","Girard, KS","KS",3839877,2023,2023,9,7,0,0,2023,1,0,0,2,2,0,0,2,0,3831,658939,100.4456,0,0,9.1163,0
"33436","33436","Glasgow, KY","KY",24901535,2023,2023,2,2,0,0,2023,1,0,0,1,0,0,0,1,0,0,201893,59.9801,0,0,2.5178,0
"33517","33517","Glendive, MT","MT",11619677,2023,2023,6,6,0,0,2023,1,0,0,0,1,0,0,1,0,22841,319284,42.611,0,0,2.1315,0
"33598","33598","Glens Falls, NY","NY",107682790,2023,2023,6,5,57,61090,0,0,0,0,1,1,0,0,2,0,172984,1724574,165.9794,0,0,13.2421,0
"33652","33652","Glenwood Springs, CO","CO",12680094,2023,2023,100,38,0,0,2023,40,0,12.5,5,1,0,0,4,1,4941714,53924701,945.6352,0,0,85.2866,0
"33733","33733","Gloversville, NY","NY",41903279,2023,2023,6,4,0,0,2023,1,0,100,2,2,0,0,2,0,50610,944029,229.1187,0,0,8.0152,0
"33814","33814","Goldsboro, NC","NC",137036923,2023,2023,21,16,35,36303,2023,2,0,0,2,2,0,0,2,0,384032,3117574,131.896,0,0,9.0636,0
"33868","33868","Gonzales, TX","TX",9583285,2023,2023,4,4,75,237356,2023,1,100,100,0,1,0,0,0,1,0,119788,64.1607,0,0,3.4633,0
"33922","33922","Goodland, KS","KS",6948737,2023,2023,1,1,0,0,2023,0,0,0,0,1,0,0,1,0,7094,32284,55.0922,0,0,8.6075,0
