"UACE10","GEOID10","NAME10","state","ALAND10","agency_voms","mode_voms","total_facilities","per_facilities_prior1980","per_facilities_prior2000","bin_bus","bin_demandresponse","bin_light_commuterail","bin_ferry","bin_directly_operated","bin_purchased_transportation","fare_revenues_earned","total_operating_expenses","cost_per_hour","train_miles","train_hours","passengers_per_hour","passenger_miles"
"03817","03817","Atlanta, GA","GA",6853090913,831,448,111,27.027027027027,76.5765765765766,8,11,2,0,11,10,137568752,536377961,2385.3832,4138409,168032,214.6346,743309957
"04033","04033","Auburn, AL","AL",129268656,23,20,0,0,0,1,1,0,0,2,0,108566,1915426,78.8041,0,0,9.3175,0
"04222","04222","Augusta-Richmond County, GA--SC","GA",672475992,19,12,2,0,100,2,2,0,0,0,4,645893,5432499,274.2243,0,0,22.4706,2402290
"04222","04222","Augusta-Richmond County, GA--SC","SC",672475992,7,4,0,0,0,2,2,0,0,0,4,645893,5432499,274.2243,0,0,22.4706,2402290
"04384","04384","Austin, TX","TX",1355592421,783,315,29,0,20.6896551724138,3,3,0,0,0,7,22905370,235997417,1320.8029,375292,22174,76.2731,168576291
"04681","04681","Bakersfield, CA","CA",358552872,87,69,11,0,45.4545454545455,1,1,0,0,2,0,4509862,29633286,161.4035,0,0,21.7118,21741920
"04843","04843","Baltimore, MD","MD",1856734366,1647,615,214,50,73.3644859813084,5,4,3,1,6,8,135674977,851266393,3011.2197,3892887,164911,285.384,729905069
"04951","04951","Bangor, ME","ME",109704371,188,188,3,0,33.3333333333333,1,3,0,0,3,2,692673,15248391,218.0396,0,0,22.2964,0
"05167","05167","Barnstable Town, MA","MA",718700832,309,193,18,0,44.4444444444444,2,2,0,1,3,3,44844070,123641002,2830.115,0,0,108.1399,54562345
"05680","05680","Baton Rouge, LA","LA",949969170,82,63,4,0,100,1,1,0,0,1,1,1918723,29422264,169.1086,0,0,17.4032,14444833
"05707","05707","Battle Creek, MI","MI",137406261,19,12,3,0,66.6666666666667,1,1,0,0,2,0,330530,4298439,223.7252,0,0,15.8328,0
"05869","05869","Bay City, MI","MI",104487607,52,38,2,0,100,1,1,0,0,2,0,553991,8493512,233.2632,0,0,12.9703,3560852
"06058","06058","Beaumont, TX","TX",237552611,18,12,1,100,100,1,1,0,0,0,2,408084,5185630,185.033,0,0,9.6398,1424468
"06139","06139","Beckley, WV","WV",157962317,18,18,0,0,0,1,0,0,0,0,1,74978,931020,46.5208,0,0,2.1399,0
"06652","06652","Bellingham, WA","WA",124563225,110,47,5,0,40,1,2,0,0,3,1,2684705,31916725,377.3347,0,0,41.8701,15735526
"06760","06760","Beloit, WI--IL","WI",88778590,8,6,2,0,50,1,1,0,0,1,1,147897,2070041,190.5858,0,0,12.4661,0
"06868","06868","Bend, OR","OR",102857256,49,16,4,0,0,3,2,0,0,3,2,712078,6563757,403.5619,0,0,42.4846,4827969
"07138","07138","Benton Harbor--St. Joseph--Fair Plain, MI","MI",120910282,25,21,1,0,100,1,1,0,0,2,0,247227,2334027,100.561,0,0,10.1168,0
"07705","07705","Billings, MT","MT",137093572,30,18,3,0,66.6666666666667,1,1,0,0,2,0,604298,5269489,207.8384,0,0,14.0296,2066747
"07732","07732","Binghamton, NY--PA","NY",191728719,55,38,1,0,0,1,2,0,0,2,1,2569867,10951622,229.4508,0,0,22.8945,6896999
"07786","07786","Birmingham, AL","AL",1372262260,96,70,4,50,50,1,2,0,0,2,1,2358229,34875596,246.762,0,0,19.7381,23922092
"07921","07921","Bismarck, ND","ND",99711726,26,20,1,0,100,1,1,0,0,0,2,377174,4095096,140.5682,0,0,7.7397,0
"08002","08002","Blacksburg, VA","VA",132287164,49,40,1,0,100,2,1,0,0,2,1,3035613,10614289,204.8296,0,0,57.3884,8002692
"08380","08380","Bloomington, IN","IN",116023756,37,30,3,0,66.6666666666667,1,1,0,0,2,0,1776379,7853249,126.5329,0,0,35.6936,6821747
"08407","08407","Bloomington--Normal, IL","IL",126747529,41,26,3,0,0,1,1,0,0,2,0,1351668,12249546,181.1389,0,0,25.5071,6970509
"08785","08785","Boise City, ID","ID",345745626,84,84,3,33.3333333333333,33.3333333333333,2,2,0,0,2,2,1958118,16942463,268.3172,0,0,31.9725,19281194
"08974","08974","Bonita Springs, FL","FL",482992868,49,28,0,0,0,1,1,0,0,0,2,1159719,11039867,150.8316,0,0,12.4467,7194584
"09271","09271","Boston, MA--NH--RI","MA",4852766033,2464,779,1008,55.1587301587302,81.4484126984127,16,7,3,1,9,18,694819961,1582119170,3935.6093,11687043,783226,600.7107,1721474532
"09271","09271","Boston, MA--NH--RI","NH",4852766033,22,22,11,0,27.2727272727273,16,7,3,1,9,18,694819961,1582119170,3935.6093,11687043,783226,600.7107,1721474532
"09379","09379","Bowling Green, KY","KY",117420731,17,9,1,0,0,1,1,0,0,2,0,88537,1625586,117.8415,0,0,7.5009,0
"09946","09946","Bremerton, WA","WA",353464688,262,93,28,0,7.14285714285714,1,2,0,2,4,2,8028378,48357875,2091.7732,0,0,208.1583,26009020
"10027","10027","Brevard, NC","NC",31410294,6,5,0,0,0,0,2,0,0,1,1,4610,362648,107.9573,0,0,6.2398,0
"10162","10162","Bridgeport--Stamford, CT--NY","CT",1207883974,81,40,2,0,50,4,5,0,0,7,2,11294765,54291614,804.3841,0,0,93.065,33872779
"10189","10189","Bridgeton, NJ","NJ",46102339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10351","10351","Bristol--Bristol, TN--VA","TN",165271839,7,4,4,0,50,2,3,0,0,5,0,126422,3222205,217.4058,0,0,18.7191,0
"10351","10351","Bristol--Bristol, TN--VA","VA",165271839,25,25,1,0,0,2,3,0,0,5,0,126422,3222205,217.4058,0,0,18.7191,0
"10648","10648","Brookings, SD","SD",24565850,22,22,1,0,0,0,2,0,0,1,0,221380,1621940,49.108,0,0,4.3,0
"10972","10972","Brownsville, TX","TX",212109894,30,16,4,0,0,2,1,0,0,3,0,992987,7104550,242.6335,0,0,33.7972,8224837
"11350","11350","Buffalo, NY","NY",984090151,364,272,38,2.63157894736842,68.4210526315789,1,1,1,0,3,0,35510180,143241656,553.9518,363550,33091,81.7401,82620956
"11431","11431","Bullhead City, AZ--NV","AZ",75224502,10,7,0,0,0,2,2,0,0,2,0,157738,1326957,132.2911,0,0,13.2927,0
"11674","11674","Burlington, IA--IL","IA",40269820,10,10,0,0,0,2,0,0,0,1,0,88296,981433,57.4441,0,0,11.6139,0
"11728","11728","Burlington, NC","NC",234210750,27,27,0,0,0,1,2,0,0,1,2,141486,2946707,177.7493,0,0,8.9457,0
"11755","11755","Burlington, VT","VT",159889307,184,62,3,33.3333333333333,66.6666666666667,2,2,0,0,3,1,2407779,20958905,384.2362,0,0,36.1905,13831126
"11998","11998","Butler, PA","PA",85107900,0,0,3,33.3333333333333,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"12052","12052","Butte-Silver Bow, MT","MT",42753207,10,5,2,0,0,2,4,0,0,3,0,0,1264889,149.1233,0,0,21.4315,0
"12160","12160","Cadillac, MI","MI",22604252,25,25,1,0,0,0,2,0,0,1,0,141442,2707478,50.0208,0,0,2.5023,0
"12565","12565","California City, CA","CA",19560335,3,3,2,100,100,0,2,0,0,1,0,25748,261707,95.9688,0,0,6.1503,0
"12754","12754","Camarillo, CA","CA",56939799,19,17,0,0,0,1,1,0,0,0,2,153800,2003838,113.1676,0,0,17.9142,0
"12808","12808","Cambridge, MD","MD",22411492,41,32,2,0,100,2,2,0,0,2,0,123752,1171876,60.663,0,0,5.3228,0
"12835","12835","Cambridge, MN","MN",25568550,17,14,1,0,0,2,2,0,0,2,0,80748,1945606,164.8317,0,0,6.0073,0
"12862","12862","Cambridge, OH","OH",25587801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13132","13132","Camilla, GA","GA",13881086,80,80,0,0,0,0,2,0,0,1,0,120975,5461549,35.7127,0,0,1.7112,0
"13221","13221","Canby, OR","OR",12912374,8,5,1,0,0,2,2,0,0,0,2,66466,1849681,223.1575,0,0,9.1594,0
"13321","13321","Canton, MS","MS",27648965,11,11,1,0,0,0,2,0,0,1,0,22585,664766,67.5438,0,0,6.3838,0
"13348","13348","Canton, NY","NY",8436264,20,20,0,0,0,2,0,0,0,0,1,146513,2266102,54.7302,0,0,1.8106,0
"13375","13375","Canton, OH","OH",430713060,66,36,6,0,16.6666666666667,1,1,0,0,2,0,2003399,23192187,218.6767,0,0,17.5348,16152891
"13510","13510","Cape Coral, FL","FL",855010586,104,48,5,0,20,1,2,0,0,2,1,3228652,24786774,186.8332,0,0,23.6133,20081108
"13537","13537","Cape Girardeau, MO--IL","MO",90721367,30,23,2,0,50,2,2,0,0,4,0,708617,3088535,115.8405,0,0,49.136,0
"13591","13591","Carbondale, IL","IL",126377053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13699","13699","Carlinville, IL","IL",7351655,38,38,0,0,0,0,2,0,0,1,0,119821,1372186,24.9788,0,0,1.3716,0
"13807","13807","Carlsbad, NM","NM",56866971,15,12,1,0,0,2,2,0,0,2,0,76135,777718,62.6507,0,0,3.6055,0
"13915","13915","Caro, MI","MI",9199077,15,15,0,0,0,0,2,0,0,1,0,91917,1109177,45.2855,0,0,2.4657,0
"13996","13996","Carroll, IA","IA",11968899,55,55,3,0,33.3333333333333,0,2,0,0,1,0,185095,2534094,51.5888,0,0,3.2753,0
"14050","14050","Carrollton, KY","KY",9374937,2,2,0,0,0,0,2,0,0,1,0,0,131770,48.4627,0,0,1.0625,0
"14104","14104","Carrollton, OH","OH",6184407,12,12,1,0,0,0,2,0,0,1,0,67360,717127,72.1311,0,0,0.6943,0
"14158","14158","Carson City, NV","NV",59803064,9,5,2,0,0,1,1,0,0,0,2,64459,1278239,111.7708,0,0,14.5117,0
"14185","14185","Cartersville, GA","GA",131065535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14266","14266","Carthage, MO","MO",23559980,2,2,0,0,0,0,2,0,0,1,0,23232,64955,13.6891,0,0,3.0255,0
"14482","14482","Casper, WY","WY",78264757,13,7,0,0,0,1,1,0,0,0,2,156607,2050034,101.7888,0,0,10.4087,0
"14644","14644","Catskill, NY","NY",10381511,8,8,0,0,0,2,0,0,0,0,1,20632,582498,63.4046,0,0,1.4616,0
"14698","14698","Cedar City, UT","UT",43503343,2,1,1,0,0,2,2,0,0,2,0,32123,163103,62.861,0,0,8.1567,0
"14752","14752","Cedar Rapids, IA","IA",216267356,74,58,2,0,0,3,4,0,0,2,3,2009519,14536259,400.8639,0,0,34.2805,6366930
"14806","14806","Cedartown, GA","GA",22398891,1,1,0,0,0,0,2,0,0,1,0,1621,59291,34.1932,0,0,2.9827,0
"14860","14860","Celina, OH","OH",11729290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15022","15022","Centralia, IL","IL",30590490,113,97,1,0,0,2,2,0,0,2,0,444681,9475826,179.2475,0,0,9.2531,0
"15076","15076","Centralia, WA","WA",81798312,8,5,5,60,100,2,2,0,0,2,0,139382,2889171,305.0927,0,0,11.7693,0
"15130","15130","Chadron, NE","NE",4939944,2,2,0,0,0,0,4,0,0,2,0,3315,100484,180.5982,0,0,11.8961,0
"15211","15211","Champaign, IL","IL",120773988,128,99,2,0,50,2,3,0,0,3,2,7693807,40363741,380.7623,0,0,73.3576,21746168
"15265","15265","Chanute, KS","KS",13737362,9,9,0,0,0,0,2,0,0,1,0,40790,101404,34.7036,0,0,8.243,0
"15319","15319","Chardon, OH","OH",23330097,14,14,1,0,100,0,2,0,0,1,0,96123,1330985,62.7557,0,0,1.8454,0
"15400","15400","Charleston, IL","IL",18909621,15,13,1,0,0,2,2,0,0,2,0,38971,955851,151.6493,0,0,9.6509,0
"15481","15481","Charleston, WV","WV",254238308,45,35,3,66.6666666666667,100,1,1,0,0,2,0,1560904,12769061,149.7537,0,0,13.6418,8078091
"15508","15508","Charleston--North Charleston, SC","SC",759667608,83,53,4,0,50,3,1,0,0,1,3,4721761,22996709,322.8127,0,0,35.0854,16605733
"15600","15600","Charles Town--Ranson, WV","WV",48053039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15643","15643","Charlotte, MI","MI",23117621,24,22,2,0,50,2,2,0,0,2,0,164956,2571121,126.8147,0,0,4.4398,0
"15670","15670","Charlotte, NC--SC","NC",1920045519,411,187,53,0,3.77358490566038,3,7,2,0,9,4,27812193,169074186,1346.0198,1278717,81067,153.084,129462411
"15670","15670","Charlotte, NC--SC","SC",1920045519,20,20,0,0,0,3,7,2,0,9,4,27812193,169074186,1346.0198,1278717,81067,153.084,129462411
"15724","15724","Charlottesville, VA","VA",89581092,70,61,5,0,100,2,1,0,0,3,0,1586992,16515685,246.408,0,0,23.5289,3036542
"15832","15832","Chattanooga, TN--GA","TN",777411843,73,54,10,60,90,1,1,0,0,3,0,4971583,21282774,488.5455,19196,6675,87.1019,7887747
"15940","15940","Chelsea, MI","MI",10876792,12,8,0,0,0,2,2,0,0,2,0,59852,603898,63.0846,0,0,3.5266,0
"16183","16183","Chester, SC","SC",17924588,16,16,0,0,0,0,2,0,0,1,0,36537,829516,37.6181,0,0,1.7415,0
"16237","16237","Cheyenne, WY","WY",91135974,14,8,1,0,0,1,1,0,0,2,0,139662,1619945,123.4693,0,0,8.4724,0
"16264","16264","Chicago, IL--IN","IL",6321129497,2730,1566,1130,40.9420289855072,78.6231884057971,5,9,3,1,15,5,1026893628,2697380585,2435.2796,20179772,1001958,278.4733,3673344927
"16264","16264","Chicago, IL--IN","IN",6321129497,70,70,29,17.2413793103448,100,5,9,3,1,15,5,1026893628,2697380585,2435.2796,20179772,1001958,278.4733,3673344927
"16291","16291","Chickasha, OK","OK",25941446,6,6,0,0,0,0,2,0,0,1,0,27849,255992,29.0076,0,0,1.4721,0
"16318","16318","Chico, CA","CA",89107270,48,26,3,0,0,1,1,0,0,0,2,1528906,9225963,165.1351,0,0,17.4382,5212657
"16453","16453","Chillicothe, OH","OH",44662884,20,16,1,0,0,2,2,0,0,2,0,159312,6681316,343.0833,0,0,7.9758,0
"16561","16561","Chino Valley, AZ","AZ",32229854,4,4,0,0,0,2,0,0,0,1,0,7049,372984,70.2154,0,0,1.8957,0
"16696","16696","Chowchilla, CA","CA",11686277,2,2,0,0,0,0,2,0,0,1,0,26332,463361,216.2207,0,0,7.9454,0
"16885","16885","Cincinnati, OH--KY--IN","KY",2039153240,122,96,5,0,0,4,4,1,0,6,3,32668784,135273252,859.3777,97290,15721,88.1304,97888264
"16885","16885","Cincinnati, OH--KY--IN","OH",2039153240,347,298,27,3.7037037037037,14.8148148148148,4,4,1,0,6,3,32668784,135273252,859.3777,97290,15721,88.1304,97888264
"16912","16912","Circleville, OH","OH",19009070,12,11,0,0,0,2,2,0,0,2,0,21285,754828,75.7017,0,0,8.8203,0
"17047","17047","Clanton, AL","AL",17294594,8,8,0,0,0,0,2,0,0,1,0,21646,432924,38.5885,0,0,1.7875,0
"17101","17101","Claremont, NH","NH",13578991,7,5,0,0,0,2,2,0,0,2,0,20475,437707,101.4031,0,0,7.7179,0
"17209","17209","Clarion, PA","PA",17261485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17236","17236","Clarksburg, WV","WV",99740663,18,14,1,0,0,2,2,0,0,2,0,219726,2655117,99.4116,0,0,8.8768,0
"17263","17263","Clarksdale, MS","MS",22046071,30,30,1,0,0,0,2,0,0,1,0,179787,1952908,49.8789,0,0,3.5766,0
"17317","17317","Clarksville, TN--KY","TN",283432390,29,18,2,50,100,1,1,0,0,2,0,740580,6358724,126.3086,0,0,10.6357,0
"17533","17533","Cleburne, TX","TX",45328121,0,0,4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"17641","17641","Cleveland, MS","MS",21158526,47,47,1,0,0,0,2,0,0,1,0,60000,2035244,31.2941,0,0,1.9329,0
"17668","17668","Cleveland, OH","OH",2004141968,461,255,154,5.19480519480519,51.2987012987013,5,5,2,0,10,3,46706364,317939372,1741.2554,1949870,117892,174.5309,158133121
"17722","17722","Cleveland, TN","TN",141271537,18,11,1,0,0,1,1,0,0,2,0,43529,1325216,80.8803,0,0,10.4823,0
"17938","17938","Clinton, IA--IL","IA",42706895,16,10,4,0,0,2,2,0,0,2,0,92904,1892706,118.5689,0,0,16.0673,0
"17965","17965","Clinton, MO","MO",14107733,4,4,1,0,0,0,2,0,0,1,0,13722,149914,36.5555,0,0,3.554,0
"17992","17992","Clinton, NC","NC",20547233,15,15,1,0,0,0,2,0,0,1,0,20524,837877,27.8124,0,0,1.7522,0
"18127","18127","Cloquet, MN","MN",24373395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18208","18208","Clovis, NM","NM",58367971,8,8,2,0,0,0,2,0,0,1,0,41324,734616,51.2606,0,0,4.8128,0
"18343","18343","Cobleskill, NY","NY",8159174,10,4,1,0,100,3,2,0,0,0,3,130415,1104965,224.7395,0,0,13.9473,0
"18370","18370","Cochran, GA","GA",11975398,3,3,0,0,0,0,2,0,0,1,0,9327,123643,21.8915,0,0,0.9556,0
"18397","18397","Cody, WY","WY",16432857,6,6,1,0,0,0,2,0,0,1,0,2295,126451,9.91,0,0,1.058,0
"18451","18451","Coeur d'Alene, ID","ID",122415831,7,5,2,0,0,2,2,0,0,2,1,0,2208936,224.7348,0,0,16.5547,0
"18532","18532","Colby, KS","KS",7762505,2,2,0,0,0,0,2,0,0,1,0,11349,92843,19.8086,0,0,2.6847,0
"18559","18559","Colchester, CT","CT",37915927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18667","18667","Coldwater, MI","MI",29870319,11,10,1,0,100,2,2,0,0,2,0,167292,1695003,115.8395,0,0,11.7748,0
"18748","18748","College Station--Bryan, TX","TX",184914747,77,48,9,11.1111111111111,55.5555555555556,1,1,0,0,2,0,405594,8128608,165.489,0,0,8.5128,3429062
"18856","18856","Colorado Springs, CO","CO",487015479,133,51,7,14.2857142857143,100,3,5,0,0,3,3,3590624,24700759,332.7859,0,0,24.282,16062619
"18937","18937","Columbia, MO","MO",160441396,806,806,5,33.3333333333333,33.3333333333333,1,3,0,0,3,0,13043199,36166267,196.7905,0,0,21.9054,3202105
"18964","18964","Columbia, SC","SC",984242315,97,46,4,0,25,1,2,0,0,0,4,2447529,20512696,498.0893,0,0,26.207,7765655
"19018","19018","Columbia City, IN","IN",15736002,8,8,2,0,0,0,2,0,0,1,0,109865,560480,40.1317,0,0,2.4908,0
"19099","19099","Columbus, GA--AL","GA",381438379,26,18,7,85.7142857142857,100,1,1,0,0,2,0,1003071,4768349,57.5685,0,0,15.4982,0
"19126","19126","Columbus, IN","IN",70790972,10,5,2,50,50,1,1,0,0,2,0,47807,1872247,120.7518,0,0,11.8294,0
"19153","19153","Columbus, KS","KS",5218667,9,9,0,0,0,0,2,0,0,1,0,17372,209362,40.8511,0,0,4.9629,0
"19207","19207","Columbus, NE","NE",20786007,4,4,1,0,0,0,2,0,0,1,0,16840,213881,66.7752,0,0,2.9004,0
"19234","19234","Columbus, OH","OH",1322426433,333,269,42,4.76190476190476,14.2857142857143,2,3,0,0,3,2,19928788,172138349,402.5135,0,0,28.3981,81291627
"19342","19342","Colusa, CA","CA",5884523,6,6,1,0,0,0,2,0,0,1,0,105664,1071202,105.9652,0,0,4.2325,0
"19369","19369","Colville, WA","WA",11916331,8,5,0,0,0,2,2,0,0,2,0,10509,673757,75.9239,0,0,3.8117,0
"19504","19504","Concord, CA","CA",525078873,142,91,13,0,100,2,1,0,0,1,2,4864199,37956252,296.5213,0,0,18.3404,16327487
"19531","19531","Concord, NH","NH",88333045,6,3,0,0,0,2,2,0,0,2,0,76865,854109,119.0781,0,0,10.6896,0
"19558","19558","Concord, NC","NC",466782955,27,27,3,100,100,3,3,0,0,2,4,438113,8779208,423.9053,0,0,31.8859,0
"19585","19585","Concordia, KS","KS",6465906,2,2,0,0,0,0,2,0,0,1,0,22945,134375,31.8123,0,0,4.6177,0
"19693","19693","Connersville, IN","IN",22710412,8,8,1,0,100,0,2,0,0,1,0,39500,407624,28.2484,0,0,2.2003,0
"19755","19755","Conroe--The Woodlands, TX","TX",345013129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19828","19828","Cookeville, TN","TN",115274265,82,71,4,50,50,2,2,0,0,2,0,181461,5762969,75.5043,0,0,5.5261,0
"19882","19882","Coolidge, AZ","AZ",10906528,10,9,2,0,0,2,2,0,0,2,0,32727,920667,146.7671,0,0,6.0188,0
"19936","19936","Coos Bay, OR","OR",42686508,16,5,1,0,0,3,2,0,0,3,1,101999,680118,124.3799,0,0,12.9854,0
"20044","20044","Corcoran, CA","CA",16956710,6,6,3,0,33.3333333333333,0,2,0,0,1,0,85820,875921,207.8104,0,0,7.7174,0
"20071","20071","Cordele, GA","GA",19478696,6,6,0,0,0,0,2,0,0,1,0,7641,483125,35.1543,0,0,1.5348,0
"20233","20233","Corning, NY","NY",26175021,6,6,0,0,0,2,0,0,0,1,0,56786,852311,80.8951,0,0,13.7677,0
"20287","20287","Corpus Christi, TX","TX",311317188,132,62,48,0,33.3333333333333,2,3,0,0,2,3,2121088,31573706,365.535,0,0,39.3484,25868808
"20341","20341","Corsicana, TX","TX",32707922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20368","20368","Cortez, CO","CO",9451925,7,7,0,0,0,0,2,0,0,1,0,6417,196377,24.8767,0,0,1.5224,0
"20395","20395","Cortland, NY","NY",27627631,16,14,0,0,0,2,2,0,0,0,2,124132,1986417,138.4294,0,0,6.5014,0
"20422","20422","Corvallis, OR","OR",55127909,20,12,2,0,0,2,1,0,0,0,3,515972,4542685,194.67,0,0,41.9713,0
"20476","20476","Coshocton, OH","OH",13446090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20503","20503","Cottage Grove, OR","OR",13606209,6,5,1,100,100,2,2,0,0,0,2,24833,342441,96.4515,0,0,3.5602,0
"20595","20595","Cottonwood--Verde Village, AZ","AZ",37505226,10,5,1,0,0,2,2,0,0,2,0,182828,1683583,118.0351,0,0,11.6987,0
"20719","20719","Covington, TN","TN",17355179,25,25,0,0,0,0,2,0,0,1,0,82168,2089400,43.758,0,0,1.2516,0
"20890","20890","Crawfordville, FL","FL",24765279,9,9,0,0,0,0,2,0,0,1,0,23545,521871,65.2176,0,0,1.6861,0
"21016","21016","Creston, IA","IA",10213334,30,30,0,0,0,0,2,0,0,1,0,229095,1550691,29.4562,0,0,2.4733,0
"21232","21232","Crookston, MN","MN",10534888,20,13,3,0,0,2,2,0,0,2,0,280995,2585506,153.493,0,0,11.5037,0
"21421","21421","Crowley, LA","LA",17789348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21637","21637","Cullman, AL","AL",57522567,30,30,1,0,0,0,2,0,0,1,0,53519,1357087,33.1053,0,0,1.9476,0
"21745","21745","Cumberland, MD--WV--PA","MD",84481876,0,0,2,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"21772","21772","Cushing, OK","OK",11431984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22042","22042","Dallas--Fort Worth--Arlington, TX","TX",4612319701,1092,561,116,7.75862068965517,100,6,12,5,0,15,10,75898990,658794643,2970.727,6629739,341808,239.9054,483340389
"22069","22069","Dalton, GA","GA",209237747,11,11,0,0,0,0,2,0,0,1,0,32758,644366,39.7389,0,0,2.1127,0
"22096","22096","Danbury, CT--NY","CT",341046919,43,29,2,0,100,1,1,0,0,2,0,856049,7771837,162.4626,0,0,12.2036,4633068
"22204","22204","Danville, IL","IL",77199252,15,15,2,0,50,0,2,0,0,1,0,7656,1374467,84.2404,0,0,3.412,0
"22253","22253","Danville, VA--NC","VA",107858331,17,11,3,0,33.3333333333333,2,2,0,0,2,0,355616,2625960,145.7115,0,0,19.1423,0
"22312","22312","Darien, GA","GA",8126145,69,69,1,0,0,0,2,0,0,1,0,63656,4060381,36.1691,0,0,1.1436,0
"22366","22366","Davenport, IA--IL","IA",357696091,51,40,8,0,100,5,5,0,1,5,6,2412817,29223600,1032.9464,0,0,83.6098,17022512
