"UACE10","GEOID10","NAME10","state","ALAND10","agency_voms","mode_voms","total_facilities","per_facilities_prior1980","per_facilities_prior2000","bin_bus","bin_demandresponse","bin_light_commuterail","bin_ferry","bin_directly_operated","bin_purchased_transportation","fare_revenues_earned","total_operating_expenses","cost_per_hour","train_miles","train_hours","passengers_per_hour","passenger_miles"
"00037","00037","Abbeville, LA","NC",29057340,20,13,2,0,50,2,2,0,0,4,0,226420,2550614,169.0167,0,0,7.3577,0
"00280","00280","Abilene, TX","TX",141784088,30,16,2,0,100,1,2,0,0,2,1,331840,4390142,168.8661,0,0,12.3507,0
"00631","00631","Aguadilla--Isabela--San Sebastián, PR","PR",619748514,11,9,1,0,100,2,2,0,0,4,0,0,247167,139.3851,0,0,6.5213,0
"00766","00766","Akron, OH","OH",842766022,210,117,11,9.09090909090909,18.1818181818182,2,3,0,0,4,1,5029390,60468724,591.2394,0,0,24.8718,16318831
"00901","00901","Albany, GA","GA",183526663,18,13,4,50,100,1,1,0,0,2,0,564722,3978814,197.1776,0,0,21.9127,3376969
"00955","00955","Albany, OR","OR",61981846,13,9,2,50,50,1,1,0,0,2,0,58909,2031449,209.2954,0,0,12.8034,0
"00970","00970","Albany--Schenectady, NY","NY",766050241,297,206,6,16.6666666666667,66.6666666666667,2,3,0,0,2,2,20804704,93755632,604.4174,0,0,52.4379,63523433
"01171","01171","Albuquerque, NM","NM",650688230,209,131,35,11.4285714285714,20,4,2,1,0,5,2,4273597,90287682,1913.9336,350454,8899,77.9568,54826982
"01279","01279","Alexandria, LA","LA",169619374,11,8,3,0,100,1,1,0,0,2,0,345638,3666812,243.1722,0,0,15.1953,0
"01495","01495","Allentown, PA--NJ","PA",896942295,160,82,20,20,20,3,2,0,0,1,4,4442458,39210051,782.7953,0,0,26.0434,22377366
"01792","01792","Altoona, PA","PA",96876604,34,21,2,50,50,1,2,0,0,2,1,516984,4867038,484.444,0,0,18.196,1382745
"01927","01927","Amarillo, TX","TX",210765732,24,16,3,33.3333333333333,66.6666666666667,1,1,0,0,2,0,111355,4894535,168.1219,0,0,6.8223,0
"02062","02062","Ames, IA","IA",59376178,68,68,3,0,66.6666666666667,1,1,0,0,2,0,5317171,13810631,143.9733,0,0,41.2646,8682186
