Primary Region,Primary State,MUA/P ID,MUA/P Name,MUA/P Type,MUA/P Sub-Type,MUA/P Population Type Code,MUA/P Score,Rural Status,MUA/P Designation Date,MUA/P Update Date,MUA/P Area Code (Component),State (Component),County (Component),MUA/P Population,Proper County Name and State Abbreviation,MUA/P Designation Type,MUA/P Designation Type Code,MUA/P Status,MUA/P Status Code,As of Date (Close of Business Date),HRSA Data Warehouse Processing Date
Region 4,Mississippi,1825,Harrison Service Area,Medically Underserved Area,Medically Underserved Area,TRC,52.98,Non-Rural,1994-05-12,1994-05-12,28047990000,Mississippi,Harrison,,"Harrison County, MS",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 6,Oklahoma,7957,Low Income - Northwest 10th Tulakes,Medically Underserved Population,MUP Low Income,LI,59.2,Non-Rural,2014-04-09,2014-04-09,40109105906,Oklahoma,Oklahoma,14654,"Oklahoma County, OK",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 6,Texas,1489987744,Texarkana,Medically Underserved Area,Medically Underserved Area,TRC,59.7,Non-Rural,2019-09-05,2019-09-05,48037010500,Texas,Bowie,44068,"Bowie County, TX",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 1,Connecticut,478,Windam Governor Service Area,Medically Underserved Area-Governor's Exception,Medically Underserved Area,TRC,0,Rural,1992-05-01,1994-02-03,9015800700,Connecticut,Not Determined,,,Governor’s Exception,MUA-GE,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,Florida,7167,Low Inc - Pensacola,Medically Underserved Population,MUP Low Income,LI,60.1,Non-Rural,2002-03-15,2002-03-15,12033003603,Florida,Escambia,,"Escambia County, FL",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 3,Pennsylvania,2947,Philadelphia Service Area,Medically Underserved Area,Medically Underserved Area,TRC,61,Non-Rural,1994-05-04,1994-05-04,42101014600,Pennsylvania,Philadelphia,,"Philadelphia County, PA",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 9,California,7379,South Central S. W. ( M S S A 78.2s),Medically Underserved Area,Medically Underserved Area,TRC,47.9,Non-Rural,2003-10-17,2003-10-17,6037241110,California,Los Angeles,,"Los Angeles County, CA",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Ohio,2654,Lucas Service Area,Medically Underserved Area,Medically Underserved Area,TRC,46.1,Non-Rural,1994-05-04,1994-05-04,39095001800,Ohio,Lucas,,"Lucas County, OH",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,Georgia,719,Fulton Service Area,Medically Underserved Area,Medically Underserved Area,TRC,56.7,Non-Rural,1994-05-11,1994-05-11,13121003800,Georgia,Fulton,,"Fulton County, GA",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 3,Virginia,1516616271,LI - South Ashburn,Medically Underserved Population,MUP Low Income,LI,58,Non-Rural,2022-03-03,2022-03-03,51107611016,Virginia,Loudoun,4282,"Loudoun County, VA",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 2,New York,2394,Westchester Service Area,Medically Underserved Area,Medically Underserved Area,TRC,41.2,Non-Rural,1988-10-07,1994-05-04,36119000402,New York,Westchester,,"Westchester County, NY",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 9,California,374,San Bernadino Service Area,Medically Underserved Area,Medically Underserved Area,TRC,55.75,Partially Rural,1994-05-11,1994-05-11,6071008703,California,San Bernardino,,"San Bernardino County, CA",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 3,Pennsylvania,2928,Cambria Service Area,Medically Underserved Area,Medically Underserved Area,TRC,57.3,Partially Rural,1981-01-17,1994-05-04,42021011900,Pennsylvania,Cambria,,"Cambria County, PA",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,Florida,7361,Low Inc - Suitcase City,Medically Underserved Population,MUP Low Income,LI,56.9,Non-Rural,1999-12-03,2004-05-25,12057010814,Florida,Hillsborough,,"Hillsborough County, FL",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 3,Pennsylvania,2913,Eastern Somerset Service Area,Medically Underserved Area,Medically Underserved Area,TRC,55.5,Partially Rural,1993-10-28,1994-01-31,42111021400,Pennsylvania,Somerset,,"Somerset County, PA",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,Alabama,93,Tuscaloosa Service Area,Medically Underserved Area,Medically Underserved Area,TRC,47.81,Non-Rural,1994-05-09,1994-05-09,1125011800,Alabama,Tuscaloosa,,"Tuscaloosa County, AL",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Michigan,1264847028,LI-Grand Rapids SA,Medically Underserved Population,MUP Low Income,LI,59.5,Non-Rural,2018-07-06,2018-07-06,26081004600,Michigan,Kent,116126,"Kent County, MI",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Illinois,7304,Des Plaines Service Area,Medically Underserved Area,Medically Underserved Area,TRC,61.4,Non-Rural,2003-02-28,2003-02-28,17031770601,Illinois,Cook,,"Cook County, IL",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 3,Pennsylvania,2961,Erie Service Area,Medically Underserved Area,Medically Underserved Area,TRC,57.35,Non-Rural,1994-05-12,1994-05-12,42049001900,Pennsylvania,Erie,,"Erie County, PA",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 9,California,245,Low Inc - South Gate Service Area,Medically Underserved Population,MUP Low Income,LI,54,Non-Rural,1994-07-07,1994-07-07,6037535902,California,Los Angeles,,"Los Angeles County, CA",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Ohio,2640,Franklin Service Area,Medically Underserved Area,Medically Underserved Area,TRC,57.8,Non-Rural,1989-08-24,1994-05-04,39049008710,Ohio,Franklin,,"Franklin County, OH",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 9,Hawaii,756,Low Inc - Maui Service Area,Medically Underserved Population,MUP Low Income,LI,57.4,Partially Rural,1994-08-08,1994-08-08,15009030705,Hawaii,Maui,,"Maui County, HI",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Michigan,7683,LOW INCOME - BERRIEN COUNTY,Medically Underserved Area-Governor's Exception,Medically Underserved Area,TRC,72.9,Partially Rural,2008-09-09,2008-09-09,26021,Michigan,Berrien,8551,"Berrien County, MI",Governor’s Exception,MUA-GE,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 7,Iowa,1191089630,Ida County MUA,Medically Underserved Area,Medically Underserved Area,TRC,59,Rural,2025-04-21,2025-04-21,19093,Iowa,Ida,6771,"Ida County, IA",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,Tennessee,1472187842,MONROE SERVICE AREA,Medically Underserved Area,Medically Underserved Area,TRC,62,Rural,1978-11-01,2024-08-21,47123,Tennessee,Monroe,44821,"Monroe County, TN",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 6,Texas,1486281146,Houston - South,Medically Underserved Area,Medically Underserved Area,TRC,60.6,Non-Rural,2019-09-06,2019-09-06,48201331700,Texas,Harris,235876,"Harris County, TX",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 7,Missouri,1928,Saint Louis Service Area,Medically Underserved Area,Medically Underserved Area,TRC,53.67,Non-Rural,1994-05-12,1994-05-12,29189213900,Missouri,St. Louis,,"St. Louis County, MO",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Minnesota,1668,Minneapolis Northeast,Medically Underserved Area,Medically Underserved Area,TRC,59.5,Non-Rural,1993-12-09,2013-08-27,27053102600,Minnesota,Hennepin,16635,"Hennepin County, MN",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Michigan,1593,Low Inc - Kalamazoo Service Area,Medically Underserved Population,MUP Low Income,LI,46.1,Non-Rural,1994-05-05,1994-08-19,26077000202,Michigan,Kalamazoo,,"Kalamazoo County, MI",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 2,New Jersey,2133,Atlantic Service Area,Medically Underserved Area,Medically Underserved Area,TRC,60.93,Partially Rural,1980-12-29,1994-05-12,34001011500,New Jersey,Atlantic,,"Atlantic County, NJ",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 2,New York,2347,Queens Service Area,Medically Underserved Area,Medically Underserved Area,TRC,56.93,Non-Rural,1978-11-01,1978-11-01,36081018000,New York,Queens,,"Queens County, NY",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Wisconsin,3776,Southeast Asian Refugee Population,Medically Underserved Population,MUP Low Income,LI,60.7,Non-Rural,1993-05-28,1994-01-31,55073000200,Wisconsin,Marathon,,"Marathon County, WI",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 6,Texas,1486572106,Dallas County - Dallas Southwest,Medically Underserved Population,MUP Low Income,LI,58,Non-Rural,2019-11-19,2019-11-19,48113006900,Texas,Dallas,97116,"Dallas County, TX",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,North Carolina,2523,Orange Service Area,Medically Underserved Area,Medically Underserved Area,TRC,58.6,Non-Rural,1982-03-03,1994-05-04,37135011300,North Carolina,Orange,,"Orange County, NC",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 6,Louisiana,1386,Calcasieu Service Area,Medically Underserved Area,Medically Underserved Area,TRC,54.2,Partially Rural,1994-05-11,1994-05-11,22019002900,Louisiana,Calcasieu,,"Calcasieu Parish, LA",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Ohio,2640,Franklin Service Area,Medically Underserved Area,Medically Underserved Area,TRC,57.8,Non-Rural,1989-08-24,1994-05-04,39049008822,Ohio,Franklin,,"Franklin County, OH",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 9,Nevada,7784,Northwest Las Vegas ,Medically Underserved Area-Governor's Exception,Medically Underserved Area,TRC,68.7,Partially Rural,2010-12-28,2010-12-28,32003003311,Nevada,Clark,269001,"Clark County, NV",Governor’s Exception,MUA-GE,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 2,New York,2285,Bedford Park Service Area,Medically Underserved Area,Medically Underserved Area,TRC,57.04,Non-Rural,1978-11-01,1978-11-01,36005041500,New York,Bronx,,"Bronx County, NY",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Illinois,7308,Low Inc - Blue Island,Medically Underserved Population,MUP Low Income,LI,61.6,Non-Rural,2003-02-28,2003-02-28,17031821300,Illinois,Cook,,"Cook County, IL",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 8,Wyoming,5007,Low Inc - Central Casper Service Area,Medically Underserved Population,MUP Low Income,LI,57.4,Partially Rural,1998-11-10,1998-11-10,56025000400,Wyoming,Natrona,,"Natrona County, WY",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 10,Oregon,7920,Low Income - Albany,Medically Underserved Population,MUP Low Income,LI,57,Non-Rural,2013-07-01,2013-07-01,41043020500,Oregon,Linn,10125,"Linn County, OR",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,Alabama,83,North Mobile Service Area,Medically Underserved Area,Medically Underserved Area,TRC,56.8,Partially Rural,1994-12-07,1998-04-02,1097006000,Alabama,Mobile,,"Mobile County, AL",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,North Carolina,2538,Wake Service Area,Medically Underserved Area,Medically Underserved Area,TRC,55.13,Non-Rural,1994-05-12,1994-05-12,37183050700,North Carolina,Wake,,"Wake County, NC",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 2,New York,2198,Highbridge Service Area,Medically Underserved Area,Medically Underserved Area,TRC,56.37,Non-Rural,1978-11-01,1978-11-01,36005022500,New York,Bronx,,"Bronx County, NY",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Michigan,1580,Battle Creek Service Area,Medically Underserved Area,Medically Underserved Area,TRC,52.4,Non-Rural,1991-11-25,1994-02-04,26025000500,Michigan,Calhoun,,"Calhoun County, MI",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Illinois,7232,Effingham,Medically Underserved Area,Medically Underserved Area,TRC,60.4,Partially Rural,2002-07-23,2002-07-23,17049950800,Illinois,Effingham,,"Effingham County, IL",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 6,Texas,1488225806,Dallas South,Medically Underserved Area,Medically Underserved Area,TRC,53,Non-Rural,2024-03-06,2024-03-06,48113011601,Texas,Dallas,177946,"Dallas County, TX",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Illinois,893,Henry Service Area,Medically Underserved Area,Medically Underserved Area,TRC,60.3,Partially Rural,1994-05-20,1994-05-20,17073031100,Illinois,Henry,,"Henry County, IL",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,Florida,7475,Low Inc - Biscayne Park,Medically Underserved Population,MUP Low Income,LI,56.3,Non-Rural,2005-04-27,2005-04-27,12086000218,Florida,Miami-Dade,,"Miami-Dade County, FL",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,Tennessee,1473521325,South Memphis/Orange Mound,Medically Underserved Area,Medically Underserved Area,TRC,52.3,Non-Rural,2019-08-12,2019-08-12,47157006300,Tennessee,Shelby,95809,"Shelby County, TN",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 7,Nebraska,2043,Lincoln Service Area,Medically Underserved Area,Medically Underserved Area,TRC,60.4,Non-Rural,1994-04-08,1994-07-13,31109000400,Nebraska,Lancaster,,"Lancaster County, NE",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 10,Oregon,1419663650,LI - Eugene/Springfield,Medically Underserved Population,MUP Low Income,LI,61,Non-Rural,2023-05-19,2023-05-19,41039002506,Oregon,Lane,88140,"Lane County, OR",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,Kentucky,1314,Fayette Service Area,Medically Underserved Area,Medically Underserved Area,TRC,59.2,Non-Rural,1994-05-11,1994-05-11,21067000102,Kentucky,Fayette,,"Fayette County, KY",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 2,New Jersey,2126,Union Service Area,Medically Underserved Area,Medically Underserved Area,TRC,57.3,Non-Rural,1982-03-17,1994-05-05,34039039400,New Jersey,Union,,"Union County, NJ",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,South Carolina,3107,Pickens Service Area,Medically Underserved Area,Medically Underserved Area,TRC,60.7,Partially Rural,1994-05-12,1994-05-12,45077011204,South Carolina,Pickens,,"Pickens County, SC",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 10,Oregon,1419663650,LI - Eugene/Springfield,Medically Underserved Population,MUP Low Income,LI,61,Non-Rural,2023-05-19,2023-05-19,41039002800,Oregon,Lane,88140,"Lane County, OR",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 3,Maryland,1483,Baltimore City Service Area,Medically Underserved Area,Medically Underserved Area,TRC,60.1,Non-Rural,1982-04-12,1994-05-04,24510070100,Maryland,Baltimore City,,"Baltimore City, MD",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 1,Rhode Island,3039,Central East Providence Service Area,Medically Underserved Area,Medically Underserved Area,TRC,61.9,Non-Rural,1992-01-28,1994-02-04,44007010300,Rhode Island,Providence,,"Providence County, RI",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 6,Oklahoma,7723,Northwest Creek Service Area ,Medically Underserved Area,Medically Underserved Area,TRC,61.5,Partially Rural,2009-09-08,2009-09-08,40037020800,Oklahoma,Creek,6073,"Creek County, OK",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 7,Missouri,1897,Greene Service Area,Medically Underserved Area,Medically Underserved Area,TRC,58.3,Non-Rural,1992-08-04,1994-02-03,29077001700,Missouri,Greene,,"Greene County, MO",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 9,California,400,San Bernadino Service Area,Medically Underserved Area,Medically Underserved Area,TRC,55.1,Non-Rural,1994-05-11,1994-05-11,6071012500,California,San Bernardino,,"San Bernardino County, CA",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 6,Oklahoma,7491,Tulsa Riverside Service Area,Medically Underserved Area,Medically Underserved Area,TRC,52.7,Non-Rural,2005-08-25,2005-08-25,40143006801,Oklahoma,Tulsa,,"Tulsa County, OK",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Illinois,7176,Kenwood Area,Medically Underserved Area,Medically Underserved Area,TRC,57.1,Non-Rural,2002-04-04,2002-04-04,17031390500,Illinois,Cook,,"Cook County, IL",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 8,Colorado,447,Westwood Service Area,Medically Underserved Area,Medically Underserved Area,TRC,58.2,Non-Rural,1994-06-08,1994-07-13,8031004506,Colorado,Denver,,"Denver County, CO",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 7,Missouri,1860,HICKORY SERVICE AREA,Medically Underserved Area,Medically Underserved Area,TRC,59.7,Rural,1978-11-01,1978-11-01,29085,Missouri,Hickory,,"Hickory County, MO",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 9,California,359,Alameda Service Area,Medically Underserved Area,Medically Underserved Area,TRC,58.6,Non-Rural,1994-05-04,1994-05-04,6001422500,California,Alameda,,"Alameda County, CA",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 1,Connecticut,484,Fairfield Service Area,Medically Underserved Area,Medically Underserved Area,TRC,59.6,Non-Rural,1994-05-04,1994-05-04,9001070200,Connecticut,Not Determined,,,Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Illinois,836,Cook Service Area,Medically Underserved Area,Medically Underserved Area,TRC,53.3,Non-Rural,1983-02-25,1994-05-03,17031510200,Illinois,Cook,,"Cook County, IL",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,North Carolina,2529,Buncombe Service Area,Medically Underserved Area,Medically Underserved Area,TRC,50.75,Non-Rural,1994-05-12,1994-05-12,37021000700,North Carolina,Buncombe,,"Buncombe County, NC",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 1,Rhode Island,3045,Low Inc - Johnston/Smithfield/North S,Medically Underserved Population-Governor's Exception,MUP Other Population,Other,0,Non-Rural,1994-04-22,1994-07-12,44007012103,Rhode Island,Providence,,"Providence County, RI",Governor’s Exception,MUP-GE,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 3,Maryland,7974,West Baltimore City Service Area,Medically Underserved Area,Medically Underserved Area,TRC,60.3,Non-Rural,2014-08-01,2014-08-04,24510160100,Maryland,Baltimore City,55947,"Baltimore City, MD",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Minnesota,1273523110,St. Cloud MUP,Medically Underserved Population,MUP Low Income,LI,61,Non-Rural,2026-03-11,2026-03-11,27145000801,Minnesota,Stearns,23393,"Stearns County, MN",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Indiana,7883,Low Income-Columbus Service Area,Medically Underserved Population,MUP Low Income,LI,57.8,Non-Rural,2012-09-07,2012-09-07,18005010800,Indiana,Bartholomew,4820,"Bartholomew County, IN",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 6,Texas,7600,Low Inc - North Corpus Christi,Medically Underserved Population,MUP Low Income,LI,54.2,Partially Rural,2007-07-17,2007-07-17,48355003500,Texas,Nueces,41673,"Nueces County, TX",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 9,California,7388,Lynwood S/ Paramount N W(mssa 78.2ooo),Medically Underserved Area,Medically Underserved Area,TRC,57.6,Non-Rural,2003-11-05,2003-11-05,6037540501,California,Los Angeles,,"Los Angeles County, CA",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,Florida,1123902677,Low Inc - West Tampa,Medically Underserved Population,MUP Low Income,LI,58,Non-Rural,2020-03-30,2020-03-30,12057011802,Florida,Hillsborough,82798,"Hillsborough County, FL",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 9,Arizona,124,Maricopa Service Area,Medically Underserved Area,Medically Underserved Area,TRC,59.6,Non-Rural,1994-06-03,1994-06-03,4013116500,Arizona,Maricopa,,"Maricopa County, AZ",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 3,District of Columbia,7861,Low Income - Columbia Heights/Ft. Totten/Takoma,Medically Underserved Population,MUP Low Income,LI,61.1,Non-Rural,2012-04-16,2012-04-16,11001002301,District of Columbia,District of Columbia,36006,"District of Columbia, DC",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 8,Wyoming,1563099253,Western Sheridan County Governor's Exceptional MUP,Medically Underserved Population-Governor's Exception,MUP Low Income,LI,85.7,Partially Rural,2016-10-27,2016-10-27,56033000200,Wyoming,Sheridan,4685,"Sheridan County, WY",Governor’s Exception,MUP-GE,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 7,Nebraska,2080,Liberty Prec - County,Medically Underserved Area,Medically Underserved Area,TRC,51.9,Partially Rural,1994-05-31,1994-05-31,3102591735,Nebraska,Cass,,"Cass County, NE",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,North Carolina,2476,Greene Service Area,Medically Underserved Area,Medically Underserved Area,TRC,24.4,Rural,1978-11-01,1978-11-01,37079,North Carolina,Greene,,"Greene County, NC",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 9,Marshall Islands,1686781466,Republic of Marshall Islands,Medically Underserved Area,Medically Underserved Area,TRC,36.4,Rural,2016-11-17,2016-11-17,68070,Marshall Islands,Bikini,53158,"Bikini, MH",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 1,Connecticut,481,Hartford Service Area,Medically Underserved Area,Medically Underserved Area,TRC,39.1,Non-Rural,1982-03-23,1994-05-03,9003524700,Connecticut,Not Determined,,,Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,Mississippi,1790,PEARL RIVER SERVICE AREA,Medically Underserved Area,Medically Underserved Area,TRC,43.1,Rural,1978-11-01,1978-11-01,28109,Mississippi,Pearl River,,"Pearl River County, MS",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,Florida,7277,Low Inc - North Lake County,Medically Underserved Population,MUP Low Income,LI,45.6,Partially Rural,2002-10-15,2002-10-15,12069030305,Florida,Lake,,"Lake County, FL",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 9,California,249,Low Inc - Napa Service Area,Medically Underserved Population,MUP Low Income,LI,54.1,Partially Rural,1995-05-12,1995-05-12,6055200705,California,Napa,,"Napa County, CA",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 2,New York,2366,South Jamaica Service Area,Medically Underserved Area,Medically Underserved Area,TRC,58.7,Non-Rural,1993-07-08,1994-01-31,36081019600,New York,Queens,,"Queens County, NY",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,Florida,5032,Low Inc & M F W - Homestead Service Are,Medically Underserved Population,MUP Low Income,LI,61.1,Partially Rural,2004-04-23,2004-04-23,12086980700,Florida,Miami-Dade,,"Miami-Dade County, FL",Medically Underserved Population,MUP,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 2,New Jersey,2134,Atlantic Service Area,Medically Underserved Area,Medically Underserved Area,TRC,59.89,Non-Rural,1980-12-29,1994-05-12,34001011804,New Jersey,Atlantic,,"Atlantic County, NJ",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 2,New York,2290,Bathgate Service Area,Medically Underserved Area,Medically Underserved Area,TRC,55.15,Non-Rural,1978-11-01,1978-11-01,36005036300,New York,Bronx,,"Bronx County, NY",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,South Carolina,3109,Spartanburg Service Area,Medically Underserved Area,Medically Underserved Area,TRC,61,Non-Rural,1994-05-12,1994-05-12,45083020800,South Carolina,Spartanburg,,"Spartanburg County, SC",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 4,Tennessee,1478708962,NW Memphis Frayser/Raleigh,Medically Underserved Area,Medically Underserved Area,TRC,59.2,Non-Rural,2017-09-20,2017-09-20,47157010210,Tennessee,Shelby,166724,"Shelby County, TN",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Minnesota,7417,Low Inc - Blue Earth/ Mankato,Medically Underserved Population-Governor's Exception,MUP Other Population,Other,0,Partially Rural,2004-05-25,2004-05-25,2701337052,Minnesota,Blue Earth,,"Blue Earth County, MN",Governor’s Exception,MUP-GE,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 3,Pennsylvania,3001,Southampton Service Area,Medically Underserved Area,Medically Underserved Area,TRC,57.6,Rural,1994-05-12,1994-05-12,4200971888,Pennsylvania,Bedford,,"Bedford County, PA",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 5,Ohio,2613,Low Inc - Lancaster/Baltimore Service Area,Medically Underserved Area-Governor's Exception,Medically Underserved Area,TRC,0,Partially Rural,1995-11-20,1995-11-20,3904541740,Ohio,Fairfield,,"Fairfield County, OH",Governor’s Exception,MUA-GE,Designated,D,2026/08/03,2026-08-04 01:21:12.212
Region 8,Montana,5076,Miles City Service Area,Medically Underserved Area,Medically Underserved Area,TRC,62,Rural,1998-06-22,1998-06-22,30033,Montana,Garfield,,"Garfield County, MT",Medically Underserved Area,MUA,Designated,D,2026/08/03,2026-08-04 01:21:12.212
