ZCTA5,STATE,COUNTY,GEOID,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,COPOP,COHU,COAREA,COAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,COPOPPCT,COHUPCT,COAREAPCT,COAREALANDPCT
00612,72,017,72017,72,31,1039344,1039344,67010,30992,184915406,175106243,24816,10693,80071362,48414485,0.11,0.1,0.56,0.59,0.29,0.29,1.3,2.15
00616,72,013,72013,11017,4896,30019620,29870473,11017,4896,30019620,29870473,96440,43253,443385518,326200544,100,100,100,100,11.42,11.32,6.77,9.16
00617,72,017,72017,24457,10542,43181464,39193495,24597,10594,43335127,39347158,24816,10693,80071362,48414485,99.43,99.51,99.65,99.61,98.55,98.59,53.93,80.95
00617,72,054,72054,140,52,153663,153663,24597,10594,43335127,39347158,12680,5137,39425508,39391492,0.57,0.49,0.35,0.39,1.1,1.01,0.39,0.39
00622,72,023,72023,7853,8714,76771945,75077028,7853,8714,76771945,75077028,50917,30206,459499677,182266838,100,100,100,100,15.42,28.85,16.71,41.19
00623,72,023,72023,43061,21426,100001387,98367847,43061,21426,100001387,98367847,50917,30206,459499677,182266838,100,100,100,100,84.57,70.93,21.76,53.97
00624,72,111,72111,24280,9219,109847589,107325269,26241,9905,114316394,111791516,24282,9220,175768648,115558665,92.53,93.07,96.09,96,99.99,99.99,62.5,92.88
00624,72,113,72113,1961,686,4468805,4466247,26241,9905,114316394,111791516,166327,69630,501436435,297232416,7.47,6.93,3.91,4,1.18,0.99,0.89,1.5
00627,72,027,72027,35159,14431,123565360,120058334,35159,14431,123565360,120058334,35159,14431,160488409,120058334,100,100,100,100,100,100,76.99,100
00631,72,001,72001,611,257,4952120,4699623,1852,842,11084632,10414662,19483,8125,173777444,172725651,32.99,30.52,44.68,45.13,3.14,3.16,2.85,2.72
00631,72,081,72081,1241,585,6132512,5715039,1852,842,11084632,10414662,30753,12956,159640584,159155311,67.01,69.48,55.32,54.87,4.04,4.52,3.84,3.59
00637,72,121,72121,25176,10920,86151847,86126524,25287,10962,89251345,89226022,25265,10958,92831653,92806330,99.56,99.62,96.53,96.53,99.65,99.65,92.8,92.8
00637,72,153,72153,111,42,3099498,3099498,25287,10962,89251345,89226022,42043,18020,178241098,176615594,0.44,0.38,3.47,3.47,0.26,0.23,1.74,1.75
00638,72,039,72039,18613,7676,170388960,169929348,18941,7805,171548452,171055117,18782,7736,172769582,172309970,98.27,98.35,99.32,99.34,99.1,99.22,98.62,98.62
00638,72,091,72091,328,129,1159492,1125769,18941,7805,171548452,171055117,44113,19260,183076859,116881341,1.73,1.65,0.68,0.66,0.74,0.67,0.63,0.96
00641,72,001,72001,65,29,261308,261308,31191,13358,245703692,242237480,19483,8125,173777444,172725651,0.21,0.22,0.11,0.11,0.33,0.36,0.15,0.15
00641,72,141,72141,31126,13329,245442384,241976172,31191,13358,245703692,242237480,33149,14192,298027589,294039825,99.79,99.78,99.89,99.89,93.9,93.92,82.36,82.29
00646,72,051,72051,38156,16682,56915551,53594303,38199,16699,56933071,53611823,38165,16687,139108812,59799289,99.89,99.9,99.97,99.97,99.98,99.97,40.91,89.62
00646,72,143,72143,43,17,17520,17520,38199,16699,56933071,53611823,39951,17002,97124017,71815540,0.11,0.1,0.03,0.03,0.11,0.1,0.02,0.02
00647,72,055,72055,6103,3441,46660708,38647394,6172,3482,47393118,39379804,19427,9666,205813246,95959871,98.88,98.82,98.45,98.14,31.42,35.6,22.67,40.27
00647,72,079,72079,69,41,732410,732410,6172,3482,47393118,39379804,25753,12397,261933700,155276656,1.12,1.18,1.55,1.86,0.27,0.33,0.28,0.47
00650,72,013,72013,226,94,2288217,2285878,14998,6124,79609991,79052810,96440,43253,443385518,326200544,1.51,1.53,2.87,2.89,0.23,0.22,0.52,0.7
00650,72,017,72017,287,120,933388,933388,14998,6124,79609991,79052810,24816,10693,80071362,48414485,1.91,1.96,1.17,1.18,1.16,1.12,1.17,1.93
00650,72,039,72039,169,60,2380622,2380622,14998,6124,79609991,79052810,18782,7736,172769582,172309970,1.13,0.98,2.99,3.01,0.9,0.78,1.38,1.38
00650,72,054,72054,12540,5085,39271845,39237829,14998,6124,79609991,79052810,12680,5137,39425508,39391492,83.61,83.03,49.33,49.63,98.9,98.99,99.61,99.61
00650,72,141,72141,1776,765,34735919,34215093,14998,6124,79609991,79052810,33149,14192,298027589,294039825,11.84,12.49,43.63,43.28,5.36,5.39,11.66,11.64
00652,72,013,72013,4715,1947,17922573,17906137,4715,1947,17922573,17906137,96440,43253,443385518,326200544,100,100,100,100,4.89,4.5,4.04,5.49
00653,72,055,72055,13307,6217,44681214,39477273,13307,6217,44681214,39477273,19427,9666,205813246,95959871,100,100,100,100,68.5,64.32,21.71,41.14
00656,72,059,72059,21481,8680,88324411,83968290,21481,8680,88324411,83968290,21581,8725,166391767,109479387,100,100,100,100,99.54,99.48,53.08,76.7
00659,72,065,72065,41953,17365,111250595,108211415,41953,17365,111250595,108211415,41953,17365,152189424,108211415,100,100,100,100,100,100,73.1,100
00660,72,067,72067,17250,7783,29381300,29380814,17250,7783,29381300,29380814,17250,7783,29381300,29380814,100,100,100,100,100,100,100,100
00662,72,071,72071,43282,20199,120249031,114907988,43282,20199,120249031,114907988,45631,21267,237892762,143235859,100,100,100,100,94.85,94.98,50.55,80.22
00664,72,073,72073,16642,6541,115343640,115340235,16784,6590,117900778,117897373,16642,6541,115343640,115340235,99.15,99.26,97.83,97.83,100,100,100,100
00664,72,141,72141,142,49,2557138,2557138,16784,6590,117900778,117897373,33149,14192,298027589,294039825,0.85,0.74,2.17,2.17,0.43,0.35,0.86,0.87
00667,72,079,72079,25684,12356,182808454,154544246,25968,12508,184465372,156201164,25753,12397,261933700,155276656,98.91,98.78,99.1,98.94,99.73,99.67,69.79,99.53
00667,72,125,72125,284,152,1656918,1656918,25968,12508,184465372,156201164,35527,15920,141177648,141148287,1.09,1.22,0.9,1.06,0.8,0.95,1.17,1.17
00669,72,081,72081,29512,12371,153508072,153440272,29744,12458,159587547,159419203,30753,12956,159640584,159155311,99.22,99.3,96.19,96.25,95.96,95.48,96.16,96.41
00669,72,083,72083,184,66,5688850,5590734,29744,12458,159587547,159419203,9881,3987,120448048,120071854,0.62,0.53,3.56,3.51,1.86,1.66,4.72,4.66
00669,72,131,72131,48,21,390625,388197,29744,12458,159587547,159419203,42430,18695,184455548,182394881,0.16,0.17,0.24,0.24,0.11,0.11,0.21,0.21
00670,72,011,72011,110,52,3623981,3544240,9807,3973,118383179,118025360,29261,12755,116355489,101747783,1.12,1.31,3.06,3,0.38,0.41,3.11,3.48
00670,72,083,72083,9697,3921,114759198,114481120,9807,3973,118383179,118025360,9881,3987,120448048,120071854,98.88,98.69,96.94,97,98.14,98.34,95.28,95.34
00674,72,091,72091,43785,19131,122658962,115755572,44457,19409,123303654,116400264,44113,19260,183076859,116881341,98.49,98.57,99.48,99.45,99.26,99.33,67,99.04
00674,72,145,72145,672,278,644692,644692,44457,19409,123303654,116400264,59662,25401,176572653,118766810,1.51,1.43,0.52,0.55,1.13,1.09,0.37,0.54
00676,72,003,72003,207,87,247030,247030,40316,16887,130693118,130636635,41959,18258,117948080,79904246,0.51,0.52,0.19,0.19,0.49,0.48,0.21,0.31
00676,72,099,72099,40109,16800,130446088,130389605,40316,16887,130693118,130636635,40109,16800,130446088,130389605,99.49,99.48,99.81,99.81,100,100,100,100
00677,72,003,72003,72,36,131873,131873,15272,9730,40732062,37137111,41959,18258,117948080,79904246,0.47,0.37,0.32,0.36,0.17,0.2,0.11,0.17
00677,72,117,72117,15200,9694,40600189,37005238,15272,9730,40732062,37137111,15200,9694,140929889,37005238,99.53,99.63,99.68,99.64,100,100,28.81,100
00678,72,071,72071,1492,684,7469895,7372610,27819,11619,72070782,68274095,45631,21267,237892762,143235859,5.36,5.89,10.36,10.8,3.27,3.22,3.14,5.15
00678,72,115,72115,25919,10754,62447166,58747764,27819,11619,72070782,68274095,25919,10754,88971808,58747764,93.17,92.56,86.65,86.05,100,100,70.19,100
00678,72,131,72131,408,181,2153721,2153721,27819,11619,72070782,68274095,42430,18695,184455548,182394881,1.47,1.56,2.99,3.15,0.96,0.97,1.17,1.18
00680,72,011,72011,265,138,3276890,3276890,58140,27992,186077627,166248984,29261,12755,116355489,101747783,0.46,0.49,1.76,1.97,0.91,1.08,2.82,3.22
00680,72,097,72097,56404,27305,178477676,158649033,58140,27992,186077627,166248984,89080,42825,709875659,201100328,97.01,97.55,95.92,95.43,63.32,63.76,25.14,78.89
00680,72,125,72125,1471,549,4323061,4323061,58140,27992,186077627,166248984,35527,15920,141177648,141148287,2.53,1.96,2.32,2.6,4.14,3.45,3.06,3.06
00682,72,097,72097,32615,15489,43678263,37348163,32615,15489,43678263,37348163,89080,42825,709875659,201100328,100,100,100,100,36.61,36.17,6.15,18.57
00683,72,125,72125,33772,15219,135197669,135168308,33772,15219,135197669,135168308,35527,15920,141177648,141148287,100,100,100,100,95.06,95.6,95.76,95.76
00685,72,071,72071,857,384,20955261,20955261,42831,18877,202866463,200808224,45631,21267,237892762,143235859,2,2.03,10.33,10.44,1.88,1.81,8.81,14.63
00685,72,131,72131,41974,18493,181911202,179852963,42831,18877,202866463,200808224,42430,18695,184455548,182394881,98,97.97,89.67,89.56,98.93,98.92,98.62,98.61
00687,72,101,72101,32610,12381,100815790,100675764,32610,12381,100815790,100675764,32610,12381,100815790,100675764,100,100,100,100,100,100,100,100
00688,72,013,72013,13543,5353,82478669,82401202,13543,5353,82478669,82401202,96440,43253,443385518,326200544,100,100,100,100,14.04,12.38,18.6,25.26
00690,72,005,72005,6255,2773,7303739,7291346,6255,2773,7303739,7291346,60949,28430,195741178,94608641,100,100,100,100,10.26,9.75,3.73,7.71
00692,72,143,72143,37511,16026,71307202,69307906,37511,16026,71307202,69307906,39951,17002,97124017,71815540,100,100,100,100,93.89,94.26,73.42,96.51
00693,72,143,72143,2397,959,1612247,1607967,61038,25884,105492827,101838924,39951,17002,97124017,71815540,3.93,3.7,1.53,1.58,6,5.64,1.66,2.24
00693,72,145,72145,58641,24925,103880580,100230957,61038,25884,105492827,101838924,59662,25401,176572653,118766810,96.07,96.3,98.47,98.42,98.29,98.13,58.83,84.39
00694,72,145,72145,328,188,4000664,2043548,328,188,4000664,2043548,59662,25401,176572653,118766810,100,100,100,100,0.55,0.74,2.27,1.72
00698,72,059,72059,100,45,20977895,14841551,41782,17924,188071102,180309254,21581,8725,166391767,109479387,0.24,0.25,11.15,8.23,0.46,0.52,12.61,13.56
00698,72,153,72153,41682,17879,167093207,165467703,41782,17924,188071102,180309254,42043,18020,178241098,176615594,99.76,99.75,88.85,91.77,99.14,99.22,93.75,93.69
00703,72,007,72007,27310,10929,74475753,74447369,28605,11417,76883454,76855070,28659,11490,77947852,77919468,95.47,95.73,96.87,96.87,95.29,95.12,95.55,95.54
00703,72,045,72045,1295,488,2407701,2407701,28605,11417,76883454,76855070,20778,8091,73876865,73557131,4.53,4.27,3.13,3.13,6.23,6.03,3.26,3.27
00704,72,057,72057,662,319,1612221,1612221,8577,3871,14401602,12627769,45362,19711,276655786,168327829,7.72,8.24,11.19,12.77,1.46,1.62,0.58,0.96
00704,72,123,72123,7915,3552,12789381,11015548,8577,3871,14401602,12627769,31078,14380,295571567,179654880,92.28,91.76,88.81,87.23,25.47,24.7,4.33,6.13
00705,72,009,72009,25543,10264,80500102,80428205,25598,10297,82820598,82748292,25900,10409,81166352,81094455,99.79,99.68,97.2,97.2,98.62,98.61,99.18,99.18
00705,72,043,72043,55,33,2320496,2320087,25598,10297,82820598,82748292,40512,16716,202090329,202050921,0.21,0.32,2.8,2.8,0.14,0.2,1.15,1.15
00707,72,095,72095,12225,5546,58378173,54561503,12225,5546,58378173,54561503,12225,5546,99110024,54561503,100,100,100,100,100,100,58.9,100
00714,72,015,72015,19566,8871,37901916,37859151,19566,8871,37901916,37859151,19575,8875,92329373,38869445,100,100,100,100,99.95,99.95,41.05,97.4
00715,72,075,72075,941,405,216698,216698,3656,1532,20584363,20434129,50747,20019,277446171,156117142,25.74,26.44,1.05,1.06,1.85,2.02,0.08,0.14
00715,72,113,72113,2715,1127,20367665,20217431,3656,1532,20584363,20434129,166327,69630,501436435,297232416,74.26,73.56,98.95,98.94,1.63,1.62,4.06,6.8
00716,72,113,72113,33779,14275,30049311,22081777,33779,14275,30049311,22081777,166327,69630,501436435,297232416,100,100,100,100,20.31,20.5,5.99,7.43
00717,72,113,72113,18457,9518,5526660,5417561,18457,9518,5526660,5417561,166327,69630,501436435,297232416,100,100,100,100,11.1,13.67,1.1,1.82
00718,72,103,72103,26606,11970,120629614,117172329,26606,11970,120629614,117172329,26720,12028,187152102,133800312,100,100,100,100,99.57,99.52,64.46,87.57
00719,72,047,72047,439,152,1478421,1478421,30990,11496,73426199,72527843,37142,13999,110279322,110263030,1.42,1.32,2.01,2.04,1.18,1.09,1.34,1.34
00719,72,105,72105,30402,11282,71867536,70969180,30990,11496,73426199,72527843,30402,11282,71867536,70969180,98.1,98.14,97.88,97.85,100,100,100,100
00719,72,135,72135,149,62,80242,80242,30990,11496,73426199,72527843,74066,27006,71378074,69972197,0.48,0.54,0.11,0.11,0.2,0.23,0.11,0.11
00720,72,043,72043,121,41,997370,997370,23129,9059,154654537,154368018,40512,16716,202090329,202050921,0.52,0.45,0.64,0.65,0.3,0.25,0.49,0.49
00720,72,107,72107,23008,9018,153657167,153370648,23129,9059,154654537,154368018,23423,9255,165176754,164773860,99.48,99.55,99.36,99.35,98.23,97.44,93.03,93.08
00723,72,109,72109,19277,9358,120873733,119554076,19277,9358,120873733,119554076,19277,9360,195026457,120950934,100,100,100,100,100,99.98,61.98,98.85
00725,72,007,72007,1349,561,3472099,3472099,89374,38678,110381424,109190812,28659,11490,77947852,77919468,1.51,1.45,3.15,3.18,4.71,4.88,4.45,4.46
00725,72,025,72025,84511,36692,97129951,95939339,89374,38678,110381424,109190812,142893,60371,152983985,151766410,94.56,94.87,87.99,87.86,59.14,60.78,63.49,63.22
00725,72,035,72035,386,156,666412,666412,89374,38678,110381424,109190812,48119,20935,134578693,134509167,0.43,0.4,0.6,0.61,0.8,0.75,0.5,0.5
00725,72,061,72061,2465,986,5553660,5553660,89374,38678,110381424,109190812,97924,42012,71910214,71428222,2.76,2.55,5.03,5.09,2.52,2.35,7.72,7.78
00725,72,127,72127,540,241,2750427,2750427,89374,38678,110381424,109190812,395326,199915,199312609,123923011,0.6,0.62,2.49,2.52,0.14,0.12,1.38,2.22
00725,72,129,72129,123,42,808875,808875,89374,38678,110381424,109190812,41058,17226,137804334,137547908,0.14,0.11,0.73,0.74,0.3,0.24,0.59,0.59
00727,72,025,72025,58382,23679,55854034,55827071,58382,23679,55854034,55827071,142893,60371,152983985,151766410,100,100,100,100,40.86,39.22,36.51,36.78
00728,72,113,72113,44908,16698,62143525,40524719,44908,16698,62143525,40524719,166327,69630,501436435,297232416,100,100,100,100,27,23.98,12.39,13.63
00729,72,029,72029,46810,19215,85118677,84753995,53750,21688,88323600,87958918,47648,19474,85484864,85120182,87.09,88.6,96.37,96.36,98.24,98.67,99.57,99.57
00729,72,087,72087,6940,2473,3204923,3204923,53750,21688,88323600,87958918,30060,12689,169915674,50158284,12.91,11.4,3.63,3.64,23.09,19.49,1.89,6.39
00730,72,113,72113,35742,16253,16973860,16850026,35742,16253,16973860,16850026,166327,69630,501436435,297232416,100,100,100,100,21.49,23.34,3.39,5.67
00731,72,001,72001,342,144,3431345,3431345,15524,5962,126414374,123332268,19483,8125,173777444,172725651,2.2,2.42,2.71,2.78,1.76,1.77,1.97,1.99
00731,72,113,72113,15182,5818,122983029,119900923,15524,5962,126414374,123332268,166327,69630,501436435,297232416,97.8,97.58,97.29,97.22,9.13,8.36,24.53,40.34
00735,72,037,72037,13617,7700,58551309,56708945,13730,7749,62204914,60362550,13631,7755,411379833,75201055,99.18,99.37,94.13,93.95,99.9,99.29,14.23,75.41
00735,72,103,72103,113,49,3653605,3653605,13730,7749,62204914,60362550,26720,12028,187152102,133800312,0.82,0.63,5.87,6.05,0.42,0.41,1.95,2.73
00736,72,035,72035,47730,20777,131269368,131199842,51532,22315,142781219,142701655,48119,20935,134578693,134509167,92.62,93.11,91.94,91.94,99.19,99.25,97.54,97.54
00736,72,041,72041,3802,1538,11511851,11501813,51532,22315,142781219,142701655,43480,17103,94418405,93294621,7.38,6.89,8.06,8.06,8.74,8.99,12.19,12.33
00738,72,053,72053,34922,18383,154956494,76243980,34922,18383,154956494,76243980,36993,19391,272801717,77347403,100,100,100,100,94.4,94.8,56.8,98.57
00739,72,041,72041,39678,15565,82906554,81792808,39678,15565,82906554,81792808,43480,17103,94418405,93294621,100,100,100,100,91.26,91.01,87.81,87.67
00740,72,053,72053,2071,1008,1144309,1103423,2071,1008,1144309,1103423,36993,19391,272801717,77347403,100,100,100,100,5.6,5.2,0.42,1.43
00741,72,069,72069,4971,2196,8913858,6121151,4971,2196,8913858,6121151,58466,28100,184917690,115914077,100,100,100,100,8.5,7.81,4.82,5.28
00745,72,029,72029,772,235,310956,310956,55062,24529,139831239,133676216,47648,19474,85484864,85120182,1.4,0.96,0.22,0.23,1.62,1.21,0.36,0.37
00745,72,119,72119,54290,24294,139520283,133365260,55062,24529,139831239,133676216,54304,24299,231884879,157011758,98.6,99.04,99.78,99.77,99.97,99.98,60.17,84.94
00751,72,123,72123,23129,10808,151042738,121664561,23129,10808,151042738,121664561,31078,14380,295571567,179654880,100,100,100,100,74.42,75.16,51.1,67.72
00754,72,129,72129,40828,17146,132406042,132164302,40828,17146,132406042,132164302,41058,17226,137804334,137547908,100,100,100,100,99.44,99.54,96.08,96.09
00757,72,133,72133,23263,9571,82856806,77246859,23263,9571,82856806,77246859,23274,9575,199284809,88119917,100,100,100,100,99.95,99.96,41.58,87.66
00765,72,147,72147,9098,5339,51058972,49309561,9098,5339,51058972,49309561,9301,5541,683734530,131488427,100,100,100,100,97.82,96.35,7.47,37.5
00766,72,107,72107,415,237,11519587,11403212,26488,9947,107440784,103701762,23423,9255,165176754,164773860,1.57,2.38,10.72,11,1.77,2.56,6.97,6.92
00766,72,149,72149,26073,9710,95921197,92298550,26488,9947,107440784,103701762,26073,9710,95921197,92298550,98.43,97.62,89.28,89,100,100,100,100
00767,72,069,72069,78,33,496194,496194,38019,15831,150306377,143501366,58466,28100,184917690,115914077,0.21,0.21,0.33,0.35,0.13,0.12,0.27,0.43
00767,72,151,72151,37941,15798,149810183,143005172,38019,15831,150306377,143501366,37941,15798,215598216,143005172,99.79,99.79,99.67,99.65,100,100,69.49,100
00769,72,043,72043,40248,16612,198207392,198168393,40248,16612,198207392,198168393,40512,16716,202090329,202050921,100,100,100,100,99.35,99.38,98.08,98.08
00771,72,085,72085,38394,16142,87623561,87591047,38394,16142,87623561,87591047,38675,16248,87780800,87748286,100,100,100,100,99.27,99.35,99.82,99.82
00772,72,087,72087,23105,10211,51615236,37975532,23105,10211,51615236,37975532,30060,12689,169915674,50158284,100,100,100,100,76.86,80.47,30.38,75.71
00773,72,089,72089,20068,10968,65536492,62964008,20068,10968,65536492,62964008,20068,10968,120510773,66851455,100,100,100,100,100,100,54.38,94.18
00775,72,049,72049,1786,1569,60782629,27344697,1786,1569,60782629,27344697,1818,1603,437274484,30105707,100,100,100,100,98.24,97.88,13.9,90.83
00777,72,029,72029,66,24,55231,55231,40684,16867,69172142,68844419,47648,19474,85484864,85120182,0.16,0.14,0.08,0.08,0.14,0.12,0.06,0.06
00777,72,063,72063,47,19,26490,26490,40684,16867,69172142,68844419,45369,18108,73330282,72228162,0.12,0.11,0.04,0.04,0.1,0.1,0.04,0.04
00777,72,077,72077,40290,16718,68933182,68605459,40684,16867,69172142,68844419,40290,16718,68933182,68605459,99.03,99.12,99.65,99.65,100,100,100,100
00777,72,085,72085,281,106,157239,157239,40684,16867,69172142,68844419,38675,16248,87780800,87748286,0.69,0.63,0.23,0.23,0.73,0.65,0.18,0.18
00778,72,063,72063,45322,18089,73303792,72201672,45429,18127,77893209,76776403,45369,18108,73330282,72228162,99.76,99.79,94.11,94.04,99.9,99.9,99.96,99.96
00778,72,129,72129,107,38,4589417,4574731,45429,18127,77893209,76776403,41058,17226,137804334,137547908,0.24,0.21,5.89,5.96,0.26,0.22,3.33,3.33
00780,72,075,72075,615,210,871948,758664,13800,5295,52870908,52032587,50747,20019,277446171,156117142,4.46,3.97,1.65,1.46,1.21,1.05,0.31,0.49
00780,72,113,72113,13185,5085,51998960,51273923,13800,5295,52870908,52032587,166327,69630,501436435,297232416,95.54,96.03,98.35,98.54,7.93,7.3,10.37,17.25
00782,72,045,72045,19304,7535,69328497,69008763,19304,7535,69328497,69008763,20778,8091,73876865,73557131,100,100,100,100,92.91,93.13,93.84,93.82
00783,72,047,72047,36557,13798,108398610,108382318,36557,13798,108398610,108382318,37142,13999,110279322,110263030,100,100,100,100,98.42,98.56,98.29,98.29
00784,72,057,72057,44637,19159,160166753,143887987,44637,19159,160166753,143887987,45362,19711,276655786,168327829,100,100,100,100,98.4,97.2,57.89,85.48
00786,72,009,72009,357,145,666250,666250,357,145,666250,666250,25900,10409,81166352,81094455,100,100,100,100,1.38,1.39,0.82,0.82
00791,72,069,72069,53417,25871,98579613,95711037,53417,25871,98579613,95711037,58466,28100,184917690,115914077,100,100,100,100,91.36,92.07,53.31,82.57
00794,72,019,72019,30318,11404,88791870,88714061,30585,11502,91497608,91419799,30318,11404,88791870,88714061,99.13,99.15,97.04,97.04,100,100,100,100
00794,72,043,72043,88,30,565071,565071,30585,11502,91497608,91419799,40512,16716,202090329,202050921,0.29,0.26,0.62,0.62,0.22,0.18,0.28,0.28
00794,72,045,72045,179,68,2140667,2140667,30585,11502,91497608,91419799,20778,8091,73876865,73557131,0.59,0.59,2.34,2.34,0.86,0.84,2.9,2.91
00795,72,075,72075,48736,19196,120770024,119811901,48736,19196,120770024,119811901,50747,20019,277446171,156117142,100,100,100,100,96.04,95.89,43.53,76.74
00901,72,127,72127,7080,4990,2564639,2534091,7080,4990,2564639,2534091,395326,199915,199312609,123923011,100,100,100,100,1.79,2.5,1.29,2.04
00906,72,127,72127,4,168,8247,8247,4,168,8247,8247,395326,199915,199312609,123923011,100,100,100,100,0,0.08,0,0.01
00907,72,127,72127,17458,13224,3480368,3132947,17458,13224,3480368,3132947,395326,199915,199312609,123923011,100,100,100,100,4.42,6.61,1.75,2.53
00909,72,127,72127,6230,3805,1624902,1575598,6230,3805,1624902,1575598,395326,199915,199312609,123923011,100,100,100,100,1.58,1.9,0.82,1.27
00911,72,127,72127,8623,6096,1245504,1245504,8623,6096,1245504,1245504,395326,199915,199312609,123923011,100,100,100,100,2.18,3.05,0.62,1.01
00912,72,127,72127,6801,3884,854044,854044,6801,3884,854044,854044,395326,199915,199312609,123923011,100,100,100,100,1.72,1.94,0.43,0.69
00913,72,127,72127,9312,4065,843188,843188,9312,4065,843188,843188,395326,199915,199312609,123923011,100,100,100,100,2.36,2.03,0.42,0.68
00915,72,127,72127,32820,16538,4422364,3601480,32820,16538,4422364,3601480,395326,199915,199312609,123923011,100,100,100,100,8.3,8.27,2.22,2.91
00917,72,127,72127,21053,12348,3407008,3360017,21053,12348,3407008,3360017,395326,199915,199312609,123923011,100,100,100,100,5.33,6.18,1.71,2.71
00918,72,127,72127,18056,10850,5621803,5520556,18056,10850,5621803,5520556,395326,199915,199312609,123923011,100,100,100,100,4.57,5.43,2.82,4.45
00920,72,127,72127,17893,9322,7467316,7331380,17893,9322,7467316,7331380,395326,199915,199312609,123923011,100,100,100,100,4.53,4.66,3.75,5.92
00921,72,127,72127,37763,17728,6931388,6931388,37763,17728,6931388,6931388,395326,199915,199312609,123923011,100,100,100,100,9.55,8.87,3.48,5.59
00923,72,127,72127,29086,13969,5291289,5283986,29086,13969,5291289,5283986,395326,199915,199312609,123923011,100,100,100,100,7.36,6.99,2.65,4.26
00924,72,031,72031,2348,1237,409938,409938,56691,24971,12145105,12143485,176762,79842,156234273,117379800,4.14,4.95,3.38,3.38,1.33,1.55,0.26,0.35
00924,72,127,72127,54343,23734,11735167,11733547,56691,24971,12145105,12143485,395326,199915,199312609,123923011,95.86,95.05,96.62,96.62,13.75,11.87,5.89,9.47
00925,72,127,72127,8696,5413,1158082,1158082,8696,5413,1158082,1158082,395326,199915,199312609,123923011,100,100,100,100,2.2,2.71,0.58,0.93
00926,72,061,72061,430,200,406951,406951,108862,47317,63627467,62575083,97924,42012,71910214,71428222,0.39,0.42,0.64,0.65,0.44,0.48,0.57,0.57
00926,72,127,72127,95942,42102,50685682,50495009,108862,47317,63627467,62575083,395326,199915,199312609,123923011,88.13,88.98,79.66,80.7,24.27,21.06,25.43,40.75
00926,72,139,72139,12490,5015,12534834,11673123,108862,47317,63627467,62575083,74842,30295,55378721,53778923,11.47,10.6,19.7,18.65,16.69,16.55,22.63,21.71
00927,72,127,72127,14936,7893,6809996,6804165,14936,7893,6809996,6804165,395326,199915,199312609,123923011,100,100,100,100,3.78,3.95,3.42,5.49
00934,72,021,72021,121,61,1164279,1138421,288,140,1967214,1940428,208116,86060,115292166,114798567,42.01,43.57,59.18,58.67,0.06,0.07,1.01,0.99
00934,72,061,72061,167,79,802935,802007,288,140,1967214,1940428,97924,42012,71910214,71428222,57.99,56.43,40.82,41.33,0.17,0.19,1.12,1.12
00936,72,127,72127,681,4,417955,417955,681,4,417955,417955,395326,199915,199312609,123923011,100,100,100,100,0.17,0,0.21,0.34
00949,72,033,72033,3416,1253,1004257,1004257,82278,33340,47734641,45604190,28140,11203,18245413,12547338,4.15,3.76,2.1,2.2,12.14,11.18,5.5,8
